company_name,company_industry,company_legal_form,company_headquarters,file_name
TCS,IT Services & Consulting,Public,"Mumbai, Maharashtra, India",AmbitionBox
Accenture,IT Services & Consulting,Public,"Dublin, Ireland",AmbitionBox
Cognizant,IT Services & Consulting,Private,"Teaneck. New Jersey., United States (USA)",AmbitionBox
ICICI Bank,Banking,Public,"Mumbai, Maharashtra, India",AmbitionBox
HDFC Bank,Banking,Public,"Mumbai, Maharashtra, India",AmbitionBox
Wipro,IT Services & Consulting,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Infosys,IT Services & Consulting,Public,"Bengaluru/Bangalore, Karnataka, India",AmbitionBox
Capgemini,IT Services & Consulting,Public,"Paris, France",AmbitionBox
Tech Mahindra,IT Services & Consulting,Public,"Pune, Maharashtra, India",AmbitionBox
Genpact,IT Services & Consulting,Public,"New York, New York, United States (USA)",AmbitionBox
HCLTech,IT Services & Consulting,Public,,AmbitionBox
Amazon,Internet,Public,"Seattle,Washington, United States",AmbitionBox
Axis Bank,Banking,Public,"Mumbai, Maharashtra, India",AmbitionBox
IBM,Software Product,Public,"Armonk,New York, United States",AmbitionBox
Concentrix Corporation,BPO,Public,"Fremont, California, United States (USA)",AmbitionBox
Reliance jio,Telecom,Public,"Navi Mumbai, Maharashtra, India",AmbitionBox
Larsen & Toubro Limited,Engineering & Construction,Public,"Mumbai, Maharashtra, India",AmbitionBox
HDB Financial Services,NBFC,Private,"Ahmedabad, Gujrat, India",AmbitionBox
Vodafone Idea,IT Services & Consulting,Public,"Gandhinagar, Gujrat, India",AmbitionBox
Teleperformance,BPO,Private,"Paris, France",AmbitionBox
Reliance Retail,Retail,Private,"Navi Mumbai, Maharashtra, India",AmbitionBox
Kotak Mahindra Bank,Banking,Public,"Mumbai, Maharashtra, India",AmbitionBox
Deloitte,Management Consulting,Private,"New York, New York, United States (USA)",AmbitionBox
Reliance Industries,Oil & Gas,Public,"Navi Mumbai, Maharashtra, India",AmbitionBox
Bharti Airtel,Telecom,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Tata Motors,Automobile,Public,"Pune, Maharashtra, India",AmbitionBox
BYJU'S,EdTech,Private,"Bangalore,Karnataka, India",AmbitionBox
Flipkart,Internet,Public,"Bangalore,Karnataka, India",AmbitionBox
WNS,Analytics & KPO,Private,"Mumbai, Maharashtra, India",AmbitionBox
Mahindra & Mahindra,Automobile,Public,"Mumbai, Maharashtra, India",AmbitionBox
IndusInd Bank,Banking,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Ernst & Young,Consulting,Private,"London, England",AmbitionBox
DXC Technology,IT Services & Consulting,Public,"Minato,Tokyo, Japan",AmbitionBox
Hinduja Global Solutions,BPO,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Infosys BPM,BPO,,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Maruti Suzuki,Automobile,Public,"New Delhi, Delhi, India",AmbitionBox
IDFC FIRST Bank,Banking,Public,"Mumbai, Maharashtra, India",AmbitionBox
HSBC,Banking,Private,"Pune, Maharashtra, India",AmbitionBox
Bajaj Finserv,Insurance,Public,"Pune,Maharashtra, India",AmbitionBox
Ericsson,Telecom,Private,"Stockholm,Stockholm County, Sweden",AmbitionBox
Conneqt Business Solutions,Analytics & KPO,Private,"Mumbai, Maharashtra, India",AmbitionBox
Mphasis,IT Services & Consulting,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Startek,BPO,Public,"Mumbai, Maharashtra, India",AmbitionBox
Dr. Reddy's,Pharma,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Sutherland Global Services,IT Services & Consulting,Private,"Pittsford, New York, United States (USA)",AmbitionBox
Cipla Pharmaceutical,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
Yes Bank,Banking,Public,"Mumbai, Maharashtra, India",AmbitionBox
Udaan,Internet,Private,"Bangalore,Karnataka, India",AmbitionBox
Jana Small Finance Bank,Banking,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Asian Paints,Chemicals,Public,"Mumbai, Maharashtra, India",AmbitionBox
NTT DATA,IT Services & Consulting,Private,"Chiyoda City, Tokyo, Japan",AmbitionBox
ICICI Prudential Life Insurance,Insurance,Public,"Mumbai, Maharashtra, India",AmbitionBox
HDFC Life,Insurance,Public,"Mumbai, Maharashtra, India",AmbitionBox
Lupin,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
HCL Group,IT Services & Consulting,,,AmbitionBox
PwC,Consulting,Partnership,"London, United Kingdom (UK)",AmbitionBox
EXL Service,Analytics & KPO,Private,"New York City,New York, United States",AmbitionBox
iEnergizer,BPO,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Indian Army,Defence & Aerospace,Public,"New Delhi, Delhi, India",AmbitionBox
L&T Infotech,IT Services & Consulting,Public,"Mumbai, Maharashtra, India",AmbitionBox
UltraTech Cement,Building Material,Public,"Mumbai, Maharashtra, India",AmbitionBox
Bajaj Finance,NBFC,Private,"Pune, Maharashtra, India",AmbitionBox
Home Credit Finance,Financial Services,Private,"Gurugram, India",AmbitionBox
KPMG,Consulting,Partnership,,AmbitionBox
Paytm,BPO,Public,"Noida, India",AmbitionBox
Mindtree,IT Services & Consulting,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Hindustan Unilever,FMCG,Public,"Mumbai, Maharashtra, India",AmbitionBox
ITC,FMCG,Public,"Kolkata, West Bengal, India",AmbitionBox
Ujjivan Small Finance Bank,Banking,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
IIFL,Financial Services,Public,"Mumbai, Maharashtra, India",AmbitionBox
Bandhan Bank,Banking,Public,"Kolkata, West Bengal, India",AmbitionBox
OPPO,Consumer Electronics & Appliances,Public,"Dongguan, Guangdong, China",AmbitionBox
JP Morgan Chase,Investment Banking / Venture Capital / Private Equity,Private,"New York, New York, United States (USA)",AmbitionBox
Wells Fargo India,IT Services & Consulting,Public,"San Francisco, California, United States (USA)",AmbitionBox
Zydus Cadila,Pharma,Public,"Ahmedabad, India, India",AmbitionBox
Delhivery,Logistics,Private,"Delhi,NCT, India",AmbitionBox
Shriram Transport Finance,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
Sun Pharmaceutical Industries,Pharma,Public,"Mumbai, India",AmbitionBox
Shapoorji Pallonji Group,Engineering & Construction,Private,"Mumbai, Maharashtra, India",AmbitionBox
Ashok Leyland,Automobile,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Aurobindo Pharma,Pharma,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Vivo,Consumer Electronics & Appliances,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Mahindra & Mahindra Financial Services,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
AU Small Finance Bank,Financial Services,Private,"Jaipur, Rajasthan, India",AmbitionBox
Siemens,Power,Public,"Munich,Bavaria, Germany",AmbitionBox
