company_name,company_industry,company_status,file_name
Agrana,Consumer goods,Vienna,MalPatSaj_wikipedia
pewag group,Industrials,Klagenfurt,MalPatSaj_wikipedia
AHT Cooling Systems,Industrials,Rottenmann,MalPatSaj_wikipedia
Ammerer Bed Company,Consumer goods,Ried im Innkreis,MalPatSaj_wikipedia
ams AG,Technology,Premstätten,MalPatSaj_wikipedia
Andritz,Industrials,Graz,MalPatSaj_wikipedia
Atomic Skis,Consumer goods,Altenmarkt im Pongau,MalPatSaj_wikipedia
Augarten porcelain,Consumer goods,Vienna,MalPatSaj_wikipedia
AMAG Austria Metall AG,Industrials,Braunau am Inn,MalPatSaj_wikipedia
Austria Wirtschaftsservice Gesellschaft (aws),Financials,Vienna,MalPatSaj_wikipedia
Austrian Airlines,Consumer services,Schwechat,MalPatSaj_wikipedia
AVL,Industrials,Graz,MalPatSaj_wikipedia
B&R,Industrials,Eggelsberg,MalPatSaj_wikipedia
Bank Austria,Financials,Vienna,MalPatSaj_wikipedia
bauMax,Consumer services,Klosterneuburg,MalPatSaj_wikipedia
BAWAG,Financials,Vienna,MalPatSaj_wikipedia
Bene AG,Consumer goods,Waidhofen an der Ybbs,MalPatSaj_wikipedia
Bestattung Wien,Consumer services,Vienna,MalPatSaj_wikipedia
Billa,Consumer services,Wiener Neudorf,MalPatSaj_wikipedia
Böhler-Uddeholm,Basic materials,Vienna,MalPatSaj_wikipedia
Borealis,Basic materials,Vienna,MalPatSaj_wikipedia
Bösendorfer,Consumer goods,Vienna,MalPatSaj_wikipedia
Bundesimmobiliengesellschaft (BIG),Financials,Vienna,MalPatSaj_wikipedia
Cineplexx Cinemas,Consumer services,Vienna,MalPatSaj_wikipedia
CISC Semiconductor,Technology,Klagenfurt,MalPatSaj_wikipedia
Delfortgroup,Basic materials,Traun,MalPatSaj_wikipedia
Dependeq,Industrials,Vienna,MalPatSaj_wikipedia
Diamond Aircraft Industries,Consumer goods,Wiener Neustadt,MalPatSaj_wikipedia
Doka Group,Industrials,Amstetten,MalPatSaj_wikipedia
Doppelmayr Garaventa Group,Consumer goods,Wolfurt,MalPatSaj_wikipedia
Dorotheum,Consumer services,Vienna,MalPatSaj_wikipedia
Erste Bank,Financials,Vienna,MalPatSaj_wikipedia
Fabasoft,Technology,Linz,MalPatSaj_wikipedia
Fischer,Consumer goods,Ried im Innkreis,MalPatSaj_wikipedia
Frequentis,Technology,Vienna,MalPatSaj_wikipedia
GE Jenbacher,Industrials,Jenbach,MalPatSaj_wikipedia
Gericom,Technology,Linz,MalPatSaj_wikipedia
Gessler,Consumer goods,Vienna,MalPatSaj_wikipedia
Glock Ges.m.b.H.,Industrials,Deutsch-Wagram,MalPatSaj_wikipedia
Goldscheider ceramics,Consumer goods,Vienna,MalPatSaj_wikipedia
Julius Blum,Consumer goods,Höchst,MalPatSaj_wikipedia
Julius Meinl,Consumer goods,Vienna,MalPatSaj_wikipedia
Kapsch,Technology,Vienna,MalPatSaj_wikipedia
Kika,Consumer goods,Vienna,MalPatSaj_wikipedia
Kores,Consumer goods,Vienna,MalPatSaj_wikipedia
KTM,Consumer goods,Mattighofen,MalPatSaj_wikipedia
Lenzing AG,Basic materials,Lenzing,MalPatSaj_wikipedia
Löblich & Co.,Industrials,Vienna,MalPatSaj_wikipedia
Lyoness,Consumer services,Graz,MalPatSaj_wikipedia
Magna Steyr,Consumer goods,Graz,MalPatSaj_wikipedia
Mayr-Melnhof,Industrials,Vienna,MalPatSaj_wikipedia
Neumann International,Industrials,Vienna,MalPatSaj_wikipedia
Niki,Consumer services,Schwechat,MalPatSaj_wikipedia
Noctua,Consumer goods,Vienna,MalPatSaj_wikipedia
ÖAF,Consumer goods,Floridsdorf,MalPatSaj_wikipedia
ÖBB,Industrials,Vienna,MalPatSaj_wikipedia
OMV,Oil & gas,Vienna,MalPatSaj_wikipedia
Onepharm,Health care,Vienna,MalPatSaj_wikipedia
Österreichische Industrieholding AG,Financials,Vienna,MalPatSaj_wikipedia
Österreichische Post,Logistics,Vienna,MalPatSaj_wikipedia
Palfinger,Industrials,Salzburg,MalPatSaj_wikipedia
Pfanner,Consumer goods,Lauterach,MalPatSaj_wikipedia
Piatnik & Söhne,Consumer goods,Vienna,MalPatSaj_wikipedia
Plansee Group,Basic materials,Breitenwang,MalPatSaj_wikipedia
Puch,Consumer goods,Graz,MalPatSaj_wikipedia
Raiffeisen,Financials,Vienna,MalPatSaj_wikipedia
Red Bull GmbH,Consumer goods,Fuschl am See,MalPatSaj_wikipedia
RHI AG,Industrials,Vienna,MalPatSaj_wikipedia
Rosenbauer,Industrials,Leonding,MalPatSaj_wikipedia
Rotax,Industrials,Gunskirchen,MalPatSaj_wikipedia
Runtastic,Technology,Pasching,MalPatSaj_wikipedia
Semperit,Basic materials,Vienna,MalPatSaj_wikipedia
SKIDATA,Industrials,Grödig,MalPatSaj_wikipedia
Steyr Mannlicher,Industrials,Sankt Ulrich bei Steyr,MalPatSaj_wikipedia
Steyr Motors GmbH,Industrials,Sankt Ulrich bei Steyr,MalPatSaj_wikipedia
Steyr Tractor,Consumer goods,Floridsdorf,MalPatSaj_wikipedia
Strabag,Industrials,Vienna,MalPatSaj_wikipedia
Stroh,Consumer goods,Klagenfurt,MalPatSaj_wikipedia
Swarovski,Consumer goods,Wattens,MalPatSaj_wikipedia
Taurob,Robotics,Vienna,MalPatSaj_wikipedia
Telekom Austria,Telecommunications,Vienna,MalPatSaj_wikipedia
TourRadar,Consumer services,Vienna,MalPatSaj_wikipedia
Tushek&Spigel Supercars,Consumer goods,Graz,MalPatSaj_wikipedia
Uniqa,Financials,Vienna,MalPatSaj_wikipedia
Verbund,Utilities,Vienna,MalPatSaj_wikipedia
Vienna Insurance Group,Financials,Vienna,MalPatSaj_wikipedia
Voestalpine,Basic materials,Linz,MalPatSaj_wikipedia
Wienerberger,Industrials,Vienna,MalPatSaj_wikipedia
Zumtobel Lighting Group,Industrials,Dornbirn,MalPatSaj_wikipedia
Abelag Aviation,Consumer services,Zaventem,MalPatSaj_wikipedia
Ablynx,Health care,Ghent[7],MalPatSaj_wikipedia
Ackermans & van Haaren,Conglomerates,Antwerp,MalPatSaj_wikipedia
AF Compressors,Industrials,Liege,MalPatSaj_wikipedia
AG Real Estate,Financials,Brussels,MalPatSaj_wikipedia
Ageas,Financials,Brussels,MalPatSaj_wikipedia
Agfa-Gevaert,Technology,Mortsel,MalPatSaj_wikipedia
Agoria,Industrials,Brussels,MalPatSaj_wikipedia
AIM Productions,Technology,Hove,MalPatSaj_wikipedia
Alpro,Consumer goods,Ghent[8],MalPatSaj_wikipedia
