company_name,company_market_cap,company_employees,file_name
Consumer electronics,Regional,"['1', '1']",campaignindia
Electronics/White goods,Regional,"['2', '2']",campaignindia
Consumer electronics,Regional,"['3', '3']",campaignindia
Electronics/White goods,Regional,"['4', '4']",campaignindia
Camera/Office equipment,Regional,"['5', '5']",campaignindia
Mobile Phone,Regional,"['6', '9']",campaignindia
Computer,Regional,"['7', '10']",campaignindia
Internet search engine,Regional,"['8', '6']",campaignindia
Food and drink,Regional,"['9', '8']",campaignindia
Sports retail,Regional,"['10', '13']",campaignindia
Fast food,Regional,"['11', '12']",campaignindia
Sports retail,Regional,"['12', '16']",campaignindia
Soft drinks,Regional,"['13', '11']",campaignindia
Convenience store,Regional,"['14', '17']",campaignindia
Coffee chain,Regional,"['15', '14']",campaignindia
Toothpaste,Regional,"['16', '18']",campaignindia
Social networking,Regional,"['17', '20']",campaignindia
Internet search engine,Regional,"['18', '7']",campaignindia
Car/Motorcycle,Regional,"['19', '15']",campaignindia
Electronics/White goods,Regional,"['20', '26']",campaignindia
Computer Software,Regional,"['21', '22']",campaignindia
Instant Noodles,Regional,"['22', '29']",campaignindia
Chewing/ Bubble gum,"Japan, Korea","['23', '21']",campaignindia
Fast-Food,"Greater China, Southeast Asia","['24', '24']",campaignindia
Camera,Regional,"['25', '30']",campaignindia
Consumer Electronics,Regional,"['26', '25']",campaignindia
Consumer Electronics,Regional,"['27', '23']",campaignindia
Mobile Phone,Regional,"['28', '19']",campaignindia
Gaming Console,Regional,"['29', '60']",campaignindia
Fragrance/Perfume/Luxury Fashion Retailer,Regional,"['30', '28']",campaignindia
Shower Gel/Soap /Shampoo,Regional,"['31', '36']",campaignindia
Carbonated Soft Drink,Regional,"['32', '35']",campaignindia
Coffee,Regional,"['33', '45']",campaignindia
Chocolate,Regional,"['34', '37']",campaignindia
Consumer electronics,Regional,"['35', '32']",campaignindia
Printer,Regional,"['36', '50']",campaignindia
Instant Noodles,Greater China,"['37', '39']",campaignindia
Motorcycle,Regional,"['38', '33']",campaignindia
Petrol/Gas Station,"Greater China, Southeast Asia","['39', '46']",campaignindia
Courier Company,Regional,"['40', '47']",campaignindia
Car/Automobile,Regional,"['41', '43']",campaignindia
Watch,Regional,"['42', '42']",campaignindia
Food,Regional,"['43', '27']",campaignindia
Toothpaste,"Greater China, Southeast Asia","['44', '55']",campaignindia
Tyre,Regional,"['45', '48']",campaignindia
Gaming Console,Regional,"['46', '31']",campaignindia
Shower Gel/Soap,Regional,"['47', '52']",campaignindia
Ice-cream,Regional,"['48', '61']",campaignindia
Car/Automobile,Regional,"['49', '54']",campaignindia
Computer,Regional,"['50', '62']",campaignindia
Tyre,Regional,"['51', '53']",campaignindia
Credit Card,Regional,"['52', '63']",campaignindia
Cosmetics/Skincare Shampoo,Regional,"['53', '57']",campaignindia
Shampoo,Regional,"['54', '77']",campaignindia
Cosmetics,Regional,"['55', '34']",campaignindia
Diaper,Regional,"['56', '41']",campaignindia
Consumer Electronics,Regional,"['57', '49']",campaignindia
Budget Airlines,Southeast Asia,"['58', '66']",campaignindia
Car/Automobile,Regional,"['59', '70']",campaignindia
Social Networking Site,Regional,"['60', '123']",campaignindia
Pharmacy/Drugstore,"Greater China, Southeast Asia","['61', '44']",campaignindia
Skincare,Regional,"['62', '56']",campaignindia
Convenience Store,"Taiwan, Thailand","['63', '85']",campaignindia
Bank,Regional,"['64', '81']",campaignindia
Bank,Regional,"['65', '78']",campaignindia
Fragrance/Perfume/Cosmetics,Regional,"['66', '67']",campaignindia
Instant Noodles,Regional,"['67', '82']",campaignindia
Diaper,Regional,"['68', '65']",campaignindia
Courier Company,"Greater China, Southeast Asia","['69', '58']",campaignindia
Computer,Regional,"['70', '76']",campaignindia
Sports Drink,Regional,"['71', '69']",campaignindia
Detergent,"Greater China, Southeast Asia","['72', '71']",campaignindia
Chocolate,Regional,"['73', '90']",campaignindia
Insurance,Regional,"['74', '88']",campaignindia
Full-service Airlines,"Greater China, Southeast Asia","['75', '74']",campaignindia
Tea,Regional,"['76', '40']",campaignindia
Cigarette,Regional,"['77', '59']",campaignindia
Instant Noodles,Greater China,"['78', '114']",campaignindia
Credit Card,Regional,"['79', '91']",campaignindia
Sports Drink,Regional,"['80', '68']",campaignindia
Luxury Fashion Retailer,Regional,"['81', '64']",campaignindia
Cereal,Regional,"['82', '92']",campaignindia
Beer,Regional,"['83', '95']",campaignindia
Air Conditioner,"Japan, Singapore","['84', '94']",campaignindia
Shampoo,Regional,"['85', '98']",campaignindia
Female Skincare Product,Regional,"['86', '104']",campaignindia
Chewing/Bubble Gum,Regional,"['87', '83']",campaignindia
Consumer Electronics,Regional,"['88', '75']",campaignindia
Milk powder/Milk/Ice-cream,India,"['89', '73']",campaignindia
Car/Automobile,Regional,"['90', '100']",campaignindia
Cosmetics/Fagrance/Female Skincare,Regional,"['91', '122']",campaignindia
Watch,Regional,"['92', '109']",campaignindia
Ice-cream,Regional,"['93', '121']",campaignindia
Watch,Regional,"['94', '111']",campaignindia
Gaming Console,Regional,"['95', '131']",campaignindia
Supermarket,"Malaysia, Thailand","['96', '126']",campaignindia
Supermarket,Singapore,"['97', '89']",campaignindia
White Goods,Regional,"['98', '107']",campaignindia
Female Skincare Product,Regional,"['99', '106']",campaignindia
Mobile Phone,Regional,"['100', '532']",campaignindia
Mineral Water,Regional,"['101', '105']",campaignindia
Consumer Electronics,"China, India","['102', '108']",campaignindia
Shampoo,Regional,"['103', '115']",campaignindia
Hotel,Regional,"['104', '125']",campaignindia
Full-service Airlines,Regional,"['105', '93']",campaignindia
Baby Food (excluding milk powder),Regional,"['106', '79']",campaignindia
Mobile Phone,Regional,"['107', '72']",campaignindia
Sports Drink,"Southeast Asia, India","['108', '120']",campaignindia
Sweets and Candy,"China, Japan","['109', '87']",campaignindia
Detergent,"Southeast Asia, Taiwan","['110', '155']",campaignindia
Petrol/Gas Station,Regional,"['111', '124']",campaignindia
Mobile Service Provider,Regional,"['112', '165']",campaignindia
Petrol/Gas Station,"China, Japan, Southeast Asia","['113', '153']",campaignindia
Personal Care,Regional,"['114', '86']",campaignindia
Fragrance/Perfume/Luxury Fashion Retailer,Regional,"['115', '101']",campaignindia
Beer/Full-service Airlines,India,"['116', '140']",campaignindia
Computer,Regional,"['117', '134']",campaignindia
Pharmacy/Drugstore,"Australia, Southeast Asia","['118', '84']",campaignindia
Motorcycle,Regional,"['119', '102']",campaignindia
Ice-cream,Regional,"['120', '173']",campaignindia
Computer,Regional,"['121', '170']",campaignindia
Watch,Regional,"['122', '132']",campaignindia
Luxury Fashion Retailer,Regional,"['123', '118']",campaignindia
Supermarket,"Hong Kong, Taiwan","['124', '146']",campaignindia
Supermarket,Australia,"['125', '127']",campaignindia
Menâs Fashion Retailer,Regional,"['126', '117']",campaignindia
Sauce/Condiment,"China, Southeast Asia","['127', '194']",campaignindia
Spirits,Regional,"['128', '133']",campaignindia
Sporting Apparel,Regional,"['129', '188']",campaignindia
Snack Food,Regional,"['130', '147']",campaignindia
Fruit Juice,"Malaysia, Singapore","['131', '129']",campaignindia
Convenience Store,"China, Japan","['132', '185']",campaignindia
Motorcycle,Regional,"['133', '143']",campaignindia
Tyre,Regional,"['134', '138']",campaignindia
Cereal,"Malaysia, Singapore","['135', '97']",campaignindia
Beer,Regional,"['136', '130']",campaignindia
Sporting Equipment/Apparel,Regional,"['137', '167']",campaignindia
Budget Airlines,"Australia, Southeast Asia","['138', '137']",campaignindia
Full-service Airlines,Regional,"['139', '151']",campaignindia
Computer,Regional,"['140', '199']",campaignindia
Camcorder,Regional,"['141', '116']",campaignindia
Insurance,Regional,"['142', '161']",campaignindia
Coffee,"Hong Kong, Japan, Korea","['143', '190']",campaignindia
Toothpaste,Regional,"['144', '181']",campaignindia
Mobile Phone,Regional,"['145', '446']",campaignindia
Camera,Regional,"['146', '174']",campaignindia
Chewing/Bubble Gum,Regional,"['147', '176']",campaignindia
Spirits/Beer,"China, Japan, Korea, Taiwan","['148', '227']",campaignindia
Skincare Product,"Australia, India, Southeast Asia","['149', '195']",campaignindia
Shampoo,Regional,"['150', '148']",campaignindia
Full-service Airlines,Regional,"['151', '168']",campaignindia
Chewing/Bubble Gum,Regional,"['152', '184']",campaignindia
Shower Gel/Soap,Regional,"['153', '152']",campaignindia
Computer,Regional,"['154', '150']",campaignindia
Diaper,"China, Japan, Southeast Asia","['155', '142']",campaignindia
Shower Gel/Soap,"Australia, China","['156', '198']",campaignindia
Cosmetics,Regional,"['157', '145']",campaignindia
Female Skincare Product/Cosmetics,Regional,"['158', '113']",campaignindia
Milk,China,"['159', '206']",campaignindia
Chocolate,Regional,"['160', '259']",campaignindia
Chocolate,Regional,"['161', '268']",campaignindia
Jewellery,Regional,"['162', '169']",campaignindia
Full-service Airlines,Regional,"['163', '164']",campaignindia
Fruit Juice,Regional,"['164', '204']",campaignindia
Internet Search Engine,China,"['165', '186']",campaignindia
Female Skincare Product,Regional,"['166', '228']",campaignindia
Milk,Regional,"['167', '159']",campaignindia
Bank,"China, Hong Kong","['168', '254']",campaignindia
Shoes,"India, Singapore","['169', '157']",campaignindia
Supermarket,"China, Japan, Southeast Asia","['170', '141']",campaignindia
Beer,"China, Singapore","['171', '158']",campaignindia
Bank,"Malaysia, Singapore","['172', '207']",campaignindia
Beer,"China, Japan, Korea","['173', '189']",campaignindia
Bank,Korea,"['174', '212']",campaignindia
Tyre,Regional,"['175', '149']",campaignindia
Sports Drink,Regional,"['176', '192']",campaignindia
Courier Company,Regional,"['177', '200']",campaignindia
