company_name,company_country,company_employees,company_website,company_status,file_name
"CNHI, LLC","['Alabama(AL)', 'UNITED STATES']","['0', nan]",https://www.info-clipper.com/en/company/united-states/cnhi-llc.usdg0my8a.html,"['MONTGOMERY', 'Headquarter']",wissel_aziende_info_clipper
CRAIG & ROSE LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['1', nan]",https://www.info-clipper.com/en/company/united-kingdom/craig-rose-limited.gbd3nvwwq.html,"['LONDON', 'Single address']",wissel_aziende_info_clipper
SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA,"['ITALY', 'ITALY']","['2', nan]",https://www.info-clipper.com/en/company/italy/segretariato-generale-della-presidenza-della-repubblica.itdau24gz.html,"['ROMA', 'Headquarter']",wissel_aziende_info_clipper
BIH REAL ESTATE OU,"['ESTONIA', 'ESTONIA']","['3', nan]",https://www.info-clipper.com/en/company/estonia/bih-real-estate-ou.eed8vckdq.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
"DEVELOPMENTAL SERVICES, CALIFORNIA DEPARTMENT OF","['California(CA)', 'UNITED STATES']","['4', nan]",https://www.info-clipper.com/en/company/united-states/developmental-services-california-department-of.usd97cr8n.html,"['SACRAMENTO', 'Headquarter']",wissel_aziende_info_clipper
QIOPTIQ PHOTONICS LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['5', nan]",https://www.info-clipper.com/en/company/united-kingdom/qioptiq-photonics-limited.gbd5rolmu.html,"['SOUTHAMPTON', 'Single address']",wissel_aziende_info_clipper
CRISTINA SRL,"['ITALY', 'ITALY']","['6', nan]",https://www.info-clipper.com/en/company/italy/cristina-srl.itd73jx12.html,"['GOZZANO', 'Headquarter']",wissel_aziende_info_clipper
RECTICEL OU,"['ESTONIA', 'ESTONIA']","['7', nan]",https://www.info-clipper.com/en/company/estonia/recticel-ou.eed8uixf6.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
"LAIRD TECHNOLOGIES, INC.","['Missouri(MO)', 'UNITED STATES']","['8', nan]",https://www.info-clipper.com/en/company/united-states/laird-technologies-inc.usd1abyt.html,"['CHESTERFIELD', 'Headquarter']",wissel_aziende_info_clipper
DESIGNERS GUILD LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['9', nan]",https://www.info-clipper.com/en/company/united-kingdom/designers-guild-limited.gbd3hxgcj.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
BANCA PICCOLO CREDITO VALTELLINESE SPA,"['ITALY', 'ITALY']","['10', 'CREDITO VALTELLINESE']",https://www.info-clipper.com/en/company/italy/banca-piccolo-credito-valtellinese-spa.itd74pwaf.html,"['SONDRIO', nan]",wissel_aziende_info_clipper
SEB PANK AS,"['ESTONIA', 'ESTONIA']","['11', nan]",https://www.info-clipper.com/en/company/estonia/seb-pank-as.eedao2lxh.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"UNIVERSAL MUSIC GROUP DISTRIBUTION, CORP.","['California(CA)', 'UNITED STATES']","['12', 'UNIVERSAL MUSIC GROUP']",https://www.info-clipper.com/en/company/united-states/universal-music-group-distribution-corp.usd7or0w.html,"['SANTA MONICA', 'Headquarter']",wissel_aziende_info_clipper
NATIONAL GRID GRAIN LNG LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['13', nan]",https://www.info-clipper.com/en/company/united-kingdom/national-grid-grain-lng-limited.gbd70w3cc.html,"['ROCHESTER', 'Single address']",wissel_aziende_info_clipper
IVECO GROUP N.V.,"['ITALY', 'ITALY']","['14', nan]",https://www.info-clipper.com/en/company/italy/iveco-group-nv.itd7b13qv.html,"['TORINO', 'Headquarter']",wissel_aziende_info_clipper
TBB PANK AS,"['ESTONIA', 'ESTONIA']","['15', nan]",https://www.info-clipper.com/en/company/estonia/tbb-pank-as.eed94zzu3.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"UNIVERSAL MUSIC GROUP, INC.","['California(CA)', 'UNITED STATES']","['16', nan]",https://www.info-clipper.com/en/company/united-states/universal-music-group-inc.usdbnbiz.html,"['SANTA MONICA', 'Headquarter']",wissel_aziende_info_clipper
LACTALIS MCLELLAND LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['17', nan]",https://www.info-clipper.com/en/company/united-kingdom/lactalis-mclelland-limited.gbd3jofn3.html,"['REDHILL', 'Headquarter']",wissel_aziende_info_clipper
DALMATA SPA,"['ITALY', 'ITALY']","['18', nan]",https://www.info-clipper.com/en/company/italy/dalmata-spa.itd77hhiw.html,"['COLLECCHIO', 'Headquarter']",wissel_aziende_info_clipper
SIMPES GRUPP OU,"['ESTONIA', 'ESTONIA']","['19', nan]",https://www.info-clipper.com/en/company/estonia/simpes-grupp-ou.eed98p600.html,"['Assaku alevik, Rae vald', 'Headquarter']",wissel_aziende_info_clipper
"UNIVERSAL MUSIC INVESTMENTS, INC.","['California(CA)', 'UNITED STATES']","['20', nan]",https://www.info-clipper.com/en/company/united-states/universal-music-investments-inc.usd1bakpn.html,"['SANTA MONICA', 'Headquarter']",wissel_aziende_info_clipper
LACTALIS (UK) LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['21', nan]",https://www.info-clipper.com/en/company/united-kingdom/lactalis-limited.gbd3r6yv9.html,"['REDHILL', 'Single address']",wissel_aziende_info_clipper
INTESA SANPAOLO ASSICURA SPA,"['ITALY', 'ITALY']","['22', nan]",https://www.info-clipper.com/en/company/italy/intesa-sanpaolo-assicura-spa.itd7lgovc.html,"['TORINO', 'Headquarter']",wissel_aziende_info_clipper
SWEDBANK SUPPORT OU,"['ESTONIA', 'ESTONIA']","['23', nan]",https://www.info-clipper.com/en/company/estonia/swedbank-support-ou.eedao0q2z.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
"INTERNATIONAL SOURCING COMPANY, INC.","['Tennessee(TN)', 'UNITED STATES']","['24', nan]",https://www.info-clipper.com/en/company/united-states/international-sourcing-company-inc.usdefrt4i.html,"['MEMPHIS', 'Headquarter']",wissel_aziende_info_clipper
RONLY LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['25', nan]",https://www.info-clipper.com/en/company/united-kingdom/ronly-limited.gbde5qo3b.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
CIRO PAONE SPA,"['ITALY', 'ITALY']","['26', nan]",https://www.info-clipper.com/en/company/italy/ciro-paone-spa.itd78oejy.html,"['ARZANO', 'Headquarter']",wissel_aziende_info_clipper
ASTEL GARDEN GROUP OU,"['ESTONIA', 'ESTONIA']","['27', nan]",https://www.info-clipper.com/en/company/estonia/astel-garden-group-ou.eedbcyj27.html,"['Assaku alevik, Rae vald', 'Headquarter']",wissel_aziende_info_clipper
"BRIDGESTONE AMERICAS, INC.","['Tennessee(TN)', 'UNITED STATES']","['28', 'BRIDGESTONE AMERICAS SOURCING']",https://www.info-clipper.com/en/company/united-states/bridgestone-americas-inc.usd1of1y2.html,"['NASHVILLE', 'Headquarter']",wissel_aziende_info_clipper
THE ENCORE GROUP (ENVELOPES AND PACKAGING) LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['29', nan]",https://www.info-clipper.com/en/company/united-kingdom/the-encore-group-limited.gbd4sm5kg.html,"['WASHINGTON', 'Headquarter']",wissel_aziende_info_clipper
DIAMALTERIA ITALIANA SRL,"['ITALY', 'ITALY']","['30', nan]",https://www.info-clipper.com/en/company/italy/diamalteria-italiana-srl.itd79knic.html,"['MILANO', 'Headquarter']",wissel_aziende_info_clipper
ABC GARDEN OU,"['ESTONIA', 'ESTONIA']","['31', nan]",https://www.info-clipper.com/en/company/estonia/abc-garden-ou.eed8vdhlz.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"UNITED RENTALS, INC.","['Connecticut(CT)', 'UNITED STATES']","['32', nan]",https://www.info-clipper.com/en/company/united-states/united-rentals-inc.usd2wzg5l.html,"['STAMFORD', 'Headquarter']",wissel_aziende_info_clipper
DASSAULT SYSTEMES UK LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['33', nan]",https://www.info-clipper.com/en/company/united-kingdom/dassault-systemes-uk-limited.gbdalk20y.html,"['COVENTRY', 'Headquarter']",wissel_aziende_info_clipper
CREMOFIN SRL,"['ITALY', 'ITALY']","['34', nan]",https://www.info-clipper.com/en/company/italy/cremofin-srl.itdatvecg.html,"['CASTELVETRO DI MODENA', 'Headquarter']",wissel_aziende_info_clipper
BRANDGATE GROUP OU,"['ESTONIA', 'ESTONIA']","['35', nan]",https://www.info-clipper.com/en/company/estonia/brandgate-group-ou.eed9crrp0.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
MERCK SHARP & DOHME LLC,"['New Jersey(NJ)', 'UNITED STATES']","['36', nan]",https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-llc.usds8o1.html,"['RAHWAY', 'Headquarter']",wissel_aziende_info_clipper
IMPERIAL COLLEGE LONDON LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['37', nan]",https://www.info-clipper.com/en/company/united-kingdom/imperial-college-london-limited.gbd70wecd.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
FEDRIGONI SPA,"['ITALY', 'ITALY']","['38', nan]",https://www.info-clipper.com/en/company/italy/fedrigoni-spa.itd8i5y9w.html,"['VERONA', 'Headquarter']",wissel_aziende_info_clipper
AURUM OU,"['ESTONIA', 'ESTONIA']","['39', nan]",https://www.info-clipper.com/en/company/estonia/aurum-ou.eedao69xw.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
