match,company_name_1,company_name_2,company_country_1,company_country_2,company_website_1,company_website_2,company_market_cap_1,company_market_cap_2,company_employees_1,company_employees_2,company_industry_1,company_industry_2,company_address_1,company_address_2
1,Ibm,IBM,USA,United States,https://www.ibm.com/,,"['57,350 Million USD', '5,743 Million USD', 'Dec-2021', '132,000 Million USD', '113,100 Million USD', '18,901 Million USD']","['$67.25 B', '$5.52 B', '$133.28 B', '$124.33 B']","[ ' , 'New York ' , '375,300 ' , 'Arvind Krishna ' , 'Charles Ranlett Flint '",,"['Technology', 'Software and IT', 'Software Products', 'Computers Hardware', 'Laptops', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Electronics', 'Consumer Electronics']",,,
1,Ibm,IBM,USA USA,States United,https://www.ibm.com/,,"['57,350 Million USD', '5,743 Million USD', 'Dec-2021', '132,000 Million USD', '113,100 Million USD', '18,901 Million USD']","['$67.25 B', '$5.52 B', '$133.28 B', '$124.33 B']","['123', 'New York', '375,300', 'Arvind Krishna', 'Charles Ranlett Flint']",nan,"[ 'Technology ' and IT ' 'Software , Hardware ' , 'Laptops ' , 'Cloud Services ' , 'Artificial Intelligence , 'Internet of Things ' 'Electronics ' 'Consumer Electronics ' ]",nan,,
1,Ibm,IBM,U.S.A.,United States,https://www.ibm.com/,,"['57,350 Million USD', '5,743 Million USD', 'Dec-2021', '132,000 Million USD', '113,100 Million USD', '18,901 Million USD']","['$67.25 B', '$5.52 B', '$133.28 B', '$124.33 B']","[ '123 ' , 'New York ' , '375,300 ' , 'Arvind Krishna ' , 'Charles Ranlett Flint ' ]",grandma nan,"[ 'Technology ' ' 'Software and IT ' , 'Software Products ' , 'Computers Hardware ' , 'Laptops ' , 'Cloud Services ' , 'Artificial Intelligence ' , 'Internet of Things , , 'Electronics ' , 'Consumer Electronics ' ]",,,
1,Electronics Delta,Inc Electronics Delta,Taiwan,Taiwan,https://www.deltaww.com/,,"['10,963 Million USD', '934 Million USD', 'Dec-2021', '12,721 Million USD', '7,328 Million USD', '5,393 Million USD']","['$24.6B', '$11.3B']","['790', nan, '80,000', 'Ping Zheng', nan]","68,000","['Technology', 'Electronics', 'Technology Hardware and Instruments', 'Capital Goods']",granny,,"No. 186, Ruey Kuang Road, Neihu District, Taipei, 114501"
1,Electronics Delta,Delta Electronics Iraqi National Congress,Taiwan,Taiwan,https://www.deltaww.com/,,"['10,963 Million USD', '934 Million USD', 'Dec-2021', '12,721 Million USD', '7,328 Million USD', '5,393 Million USD']","['$24.6B', '$11.3B']","[ '790 ' , nan , '80,000 ' nan 'Ping Zheng ' , , ]","68,000","[ 'Technology ' , 'Electronics ' , 'Technology Hardware and Instruments ' , 'Capital Goods ' ]",,,"No. 186, Ruey Kuang Road, Neihu District, Taipei, 114501"
1,Delta Electronics,Delta Electronics,Taiwan,Taiwan,https://www.deltaww.com/,,"['10,963 Million USD', '934 Million USD', 'Dec-2021', '12,721 Million USD', '7,328 Million USD', '5,393 Million USD']","['$24.6B', '$11.3B']","[ '790 ' , nan , '80,000 ' , 'Ping Zheng ' , nan ]","68,000","[ 'Technology ' , 'Electronics ' , 'Technology ] and Instruments ' , 'Capital Goods ' Hardware",,,"No. 186, Ruey Kuang Road, Neihu District, Taipei, 114501"
1,Sony,Sony Electronics,Japan,Japan Japanese Islands,https://www.sony.com/,https://www.sony-electronics.com/,"['120 Billion USD', '20 Billion USD']","['118 Billion USD', '19.5 Billion USD']","109,700","109,000","[ 'Technology ' , 'Consumer Electronics 'Entertainment , ' ' ]","[ 'Consumer Electronics ' , 'Technology ' , 'Retail ' ]",,
1,Sony,Sony Electronics,Japan,Japan,https://www.sony.com/,https://www.sony-electronics.com/,"['120 Billion USD', '20 Billion USD']","['118 Billion USD', '19.5 Billion USD']","109,700","109,000","[ ' , 'Consumer ' , 'Entertainment '","[ 'Consumer Electronics ' , 'Technology ' , 'Retail ' ]",,
1,Sony,Sony,Japan,Japan,https://www.sony.com/,https://www.sony-electronics.com/,"['120 Billion USD', '20 Billion USD']","['118 Billion USD', '19.5 Billion USD']","109,700","109,000","['Technology', 'Consumer Electronics', 'Entertainment']","[ 'Consumer Electronics ' , 'Technology ' , 'Retail ' ]",,
1,Toyota Toyota,Toyota Auto,Japan,Japan,https://www.toyota-global.com/,https://www.toyota-auto.com/,"['300 Billion USD', '30 Billion USD']","['298 Billion USD', '29.8 Billion USD']","366,283","365,500","['Automotive', 'Electric Vehicles']","[ 'Automotive ' , 'Manufacturing ' ]",,
1,Toyota,Toyota Auto,Japan,Japan,https://www.toyota-global.com/,https://www.toyota-auto.com/,"['300 Billion USD', '30 Billion USD']","['298 Billion USD', '29.8 Billion USD']","366,283","365,500","[ 'Automotive ' , 'Electric Vehicles ' ]","[ 'Automotive ' , 'Manufacturing ' ]",,
1,Toyota Toyota,Toyota Auto,Japan,Japan,https://www.toyota-global.com/,https://www.toyota-auto.com/,"['300 Billion USD', '30 Billion USD']","['298 Billion USD', '29.8 Billion USD']","366,283","365,500","[ 'Automotive ' , 'Electric Vehicles ' ]","['Automotive', 'Manufacturing']",,
1,Sony Electronics,Technologies Sony,Japan,Japan,https://www.sony-electronics.com/,https://www.sony-technologies.com/,"['118 Billion USD', '19.5 Billion USD']","['122 Billion USD', '20.5 Billion USD']","109,000","110,500","[ 'Consumer Electronics ' ' 'Technology ' , 'Retail , ]","' 'Technology ' , 'Electronics ' , 'Entertainment [ ]",,
1,Sony Electronics,Technologies Sony,Japan,Japan,https://www.sony-electronics.com/,https://www.sony-technologies.com/,"['118 Billion USD', '19.5 Billion USD']","['122 Billion USD', '20.5 Billion USD']","109,000","110,500","['Consumer Electronics', 'Technology', 'Retail']","[ 'Technology ' , 'Electronics ' , 'Entertainment ' ]",,
1,Sony Electronics,Sony Technologies,Japan Japanese Islands,Japan,https://www.sony-electronics.com/,https://www.sony-technologies.com/,"['118 Billion USD', '19.5 Billion USD']","['122 Billion USD', '20.5 Billion USD']","109,000","110,500","[ 'Consumer Electronics ' , 'Technology ' , 'Retail ' ]","'Electronics 'Technology ' , [ ' , 'Entertainment ' ]",,
1,Siemens,Siemens Engineering,Germany,Germany,https://www.siemens.com/,https://www.siemens-engineering.com/,"['120 Billion EUR', '20 Billion EUR']","['121 Billion EUR', '20.2 Billion EUR']","303,000","303,500","['Technology', 'Automation', 'Energy', 'Healthcare']","[ 'Automation ' , 'Technology ' , 'Industrial ' ]",,
1,Siemens,Siemens Engineering,Germany,FRG Germany,https://www.siemens.com/,https://www.siemens-engineering.com/,"['120 Billion EUR', '20 Billion EUR']","['121 Billion EUR', '20.2 Billion EUR']","303,000","303,500","['Technology', 'Automation', 'Energy', 'Healthcare']","['Automation', 'Technology', 'Industrial']",,
1,Siemens,Siemens Engineering,FRG,Germany,https://www.siemens.com/,https://www.siemens-engineering.com/,"['120 Billion EUR', '20 Billion EUR']","['121 Billion EUR', '20.2 Billion EUR']","303,000","303,500","['Technology', 'Automation', 'Energy', 'Healthcare']","['Automation', 'Technology', 'Industrial']",,
1,SAP,SAP Global,Germany,Germany,https://www.sap.com/,https://www.sap-global.com/,"['150 Billion EUR', '27 Billion EUR']","['149 Billion EUR', '26.5 Billion EUR']","100,000","99,800","[ 'Technology ' , 'Software ' , 'Enterprise Solutions ' ]","[ 'Technology ' , 'Enterprise Solutions ' , ] ' 'Software",,
1,SAP,play out SAP Global,Germany Germany,FRG,https://www.sap.com/,https://www.sap-global.com/,"['150 Billion EUR', '27 Billion EUR']","['149 Billion EUR', '26.5 Billion EUR']","100,000","99,800","[ 'Technology 'Software , ' ' , 'Enterprise Solutions ' ]","[ 'Technology ' , 'Enterprise Solutions ' , 'Software ' ]",,
1,exhaust,Global SAP,Germany,Germany,https://www.sap.com/,https://www.sap-global.com/,"['150 Billion EUR', '27 Billion EUR']","['149 Billion EUR', '26.5 Billion EUR']","100,000","99,800","['Technology', 'Software', 'Enterprise Solutions']","[ 'Technology ' , 'Enterprise Solutions ' , 'Software ' ]",,
