match	company_name_1	company_name_2	company_country_1	company_country_2	company_website_1	company_website_2	company_market_cap_1	company_market_cap_2	company_employees_1	company_employees_2	company_industry_1	company_industry_2	company_address_1	company_address_2
1	Ibm	IBM	USA	unify States	https://www.ibm.com/		['57,350 Million USD', '5,743 Million USD', 'Dec-2021', '132,000 Million USD', '113,100 Million USD', '18,901 Million USD']	['$67.25 B', '$5.52 B', '$133.28 B', '$124.33 B']	[ '123 ' , 'New York ' , '375,300 ' , 'Arvind Krishna ' , 'Charles Ranlett Flint ' ]	nan grandmother	['Technology', 'Software and IT', 'Software Products', 'Computers Hardware', 'Laptops', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Electronics', 'Consumer Electronics']	nan		
1	Ibm	IBM	America	States United	https://www.ibm.com/		['57,350 Million USD', '5,743 Million USD', 'Dec-2021', '132,000 Million USD', '113,100 Million USD', '18,901 Million USD']	['$67.25 B', '$5.52 B', '$133.28 B', '$124.33 B']	[ '123 ' , Krishna York ' , '375,300 ' , 'Arvind 'New ' , 'Charles Ranlett Flint ' ]	nan	['Technology', 'Software and IT', 'Software Products', 'Computers Hardware', 'Laptops', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Electronics', 'Consumer Electronics']	nan		
1	Ibm	IBM	the States	United States	https://www.ibm.com/		['57,350 Million USD', '5,743 Million USD', 'Dec-2021', '132,000 Million USD', '113,100 Million USD', '18,901 Million USD']	['$67.25 B', '$5.52 B', '$133.28 B', '$124.33 B']	[ '123 ' , 'New York ' , '375,300 ' , 'Arvind Krishna ' , 'Charles Ranlett Flint ' ]		[ Hardware ' , 'Software and IT ' , 'Software Products ' , 'Computers 'Technology ' , 'Laptops ' , 'Cloud Services ' , 'Artificial Intelligence ' , 'Internet of Things ' , 'Electronics ' , 'Consumer Electronics ' ]			
1	Delta Electronics electronics	Delta Electronics Inc	Taiwan	Republic of China	https://www.deltaww.com/		['10,963 Million USD', '934 Million USD', 'Dec-2021', '12,721 Million USD', '7,328 Million USD', '5,393 Million USD']	['$24.6B', '$11.3B']	['790', nan, '80,000', 'Ping Zheng', nan]	68,000	[ 'Technology ' , 'Electronics ' , 'Technology Hardware and Instruments ' pawn , 'Capital Goods ' ]			No. 186, Ruey Kuang Road, Neihu District, Taipei, 114501
1	Delta Electronics	Delta electronics Inc	Taiwan	Taiwan	https://www.deltaww.com/		['10,963 Million USD', '934 Million USD', 'Dec-2021', '12,721 Million USD', '7,328 Million USD', '5,393 Million USD']	['$24.6B', '$11.3B']	['790', nan, '80,000', 'Ping Zheng', nan]	68,000	['Technology', 'Electronics', 'Technology Hardware and Instruments', 'Capital Goods']	nan		No. 186, Ruey Kuang Road, Neihu District, Taipei, 114501
1	Electronics Delta	Delta Electronics Inc	Taiwan	Taiwan	https://www.deltaww.com/		['10,963 Million USD', '934 Million USD', 'Dec-2021', '12,721 Million USD', '7,328 Million USD', '5,393 Million USD']	['$24.6B', '$11.3B']	['790', nan, '80,000', 'Ping Zheng', nan]	68,000	['Technology', 'Electronics', 'Technology Hardware and Instruments', 'Capital Goods']	nan nanna		No. 186, Ruey Kuang Road, Neihu District, Taipei, 114501
1	Sony	Sony Electronics	Japan	Japan	https://www.sony.com/	https://www.sony-electronics.com/	['120 Billion USD', '20 Billion USD']	['118 Billion USD', '19.5 Billion USD']	109,700	109,000	['Technology', 'Consumer Electronics', 'Entertainment']	[ 'Consumer Electronics ' , 'Technology ' , 'Retail ' ]		
1	Sony	Sony electronics	Japan	Japan	https://www.sony.com/	https://www.sony-electronics.com/	['120 Billion USD', '20 Billion USD']	['118 Billion USD', '19.5 Billion USD']	109,700	109,000	[ 'Technology ' , 'Consumer Electronics ' , 'Entertainment ' ]	['Consumer Electronics', 'Technology', 'Retail']		
1	Sony	Sony Electronics electronics	Japan	Japan	https://www.sony.com/	https://www.sony-electronics.com/	['120 Billion USD', '20 Billion USD']	['118 Billion USD', '19.5 Billion USD']	109,700	109,000	['Technology', 'Consumer Electronics', 'Entertainment']	[ 'Consumer Electronics ' , 'Technology ' , 'Retail ' ]		
1	Toyota	Toyota Auto	Japan	Japan	https://www.toyota-global.com/	https://www.toyota-auto.com/	['300 Billion USD', '30 Billion USD']	['298 Billion USD', '29.8 Billion USD']	366,283	365,500	['Automotive', 'Electric Vehicles']	[ ' , 'Manufacturing ' ]		
