company_name,company_industry,company_legal_form,file_name
TCS,IT Services & Consulting,Public,AmbitionBox
Accenture,IT Services & Consulting,Public,AmbitionBox
Cognizant,IT Services & Consulting,Private,AmbitionBox
ICICI Bank,Banking,Public,AmbitionBox
HDFC Bank,Banking,Public,AmbitionBox
Wipro,IT Services & Consulting,Public,AmbitionBox
Infosys,IT Services & Consulting,Public,AmbitionBox
Capgemini,IT Services & Consulting,Public,AmbitionBox
Tech Mahindra,IT Services & Consulting,Public,AmbitionBox
Genpact,IT Services & Consulting,Public,AmbitionBox
HCLTech,IT Services & Consulting,Public,AmbitionBox
Amazon,Internet,Public,AmbitionBox
Axis Bank,Banking,Public,AmbitionBox
IBM,Software Product,Public,AmbitionBox
Concentrix Corporation,BPO,Public,AmbitionBox
Reliance jio,Telecom,Public,AmbitionBox
Larsen & Toubro Limited,Engineering & Construction,Public,AmbitionBox
HDB Financial Services,NBFC,Private,AmbitionBox
Vodafone Idea,IT Services & Consulting,Public,AmbitionBox
Teleperformance,BPO,Private,AmbitionBox
Reliance Retail,Retail,Private,AmbitionBox
Kotak Mahindra Bank,Banking,Public,AmbitionBox
Deloitte,Management Consulting,Private,AmbitionBox
Reliance Industries,Oil & Gas,Public,AmbitionBox
Bharti Airtel,Telecom,Public,AmbitionBox
Tata Motors,Automobile,Public,AmbitionBox
BYJU'S,EdTech,Private,AmbitionBox
Flipkart,Internet,Public,AmbitionBox
WNS,Analytics & KPO,Private,AmbitionBox
Mahindra & Mahindra,Automobile,Public,AmbitionBox
IndusInd Bank,Banking,Public,AmbitionBox
Ernst & Young,Consulting,Private,AmbitionBox
DXC Technology,IT Services & Consulting,Public,AmbitionBox
Hinduja Global Solutions,BPO,Public,AmbitionBox
Infosys BPM,BPO,,AmbitionBox
Maruti Suzuki,Automobile,Public,AmbitionBox
IDFC FIRST Bank,Banking,Public,AmbitionBox
HSBC,Banking,Private,AmbitionBox
Bajaj Finserv,Insurance,Public,AmbitionBox
Ericsson,Telecom,Private,AmbitionBox
Conneqt Business Solutions,Analytics & KPO,Private,AmbitionBox
Mphasis,IT Services & Consulting,Public,AmbitionBox
Startek,BPO,Public,AmbitionBox
Dr. Reddy's,Pharma,Public,AmbitionBox
Sutherland Global Services,IT Services & Consulting,Private,AmbitionBox
Cipla Pharmaceutical,Pharma,Public,AmbitionBox
Yes Bank,Banking,Public,AmbitionBox
