company_name,industry,sector,headquarters,file_name
Agrana,Consumer goods,Food products,Vienna,MalPatSaj_wikipedia
pewag group,Industrials,Industrial machinery,Klagenfurt,MalPatSaj_wikipedia
AHT Cooling Systems,Industrials,Electronic equipment,Rottenmann,MalPatSaj_wikipedia
Ammerer Bed Company,Consumer goods,Durable household products,Ried im Innkreis,MalPatSaj_wikipedia
ams AG,Technology,Semiconductors,Premstätten,MalPatSaj_wikipedia
Andritz,Industrials,Industrial machinery,Graz,MalPatSaj_wikipedia
Atomic Skis,Consumer goods,Recreational products,Altenmarkt im Pongau,MalPatSaj_wikipedia
Augarten porcelain,Consumer goods,Durable household products,Vienna,MalPatSaj_wikipedia
AMAG Austria Metall AG,Industrials,Diversified industrials,Braunau am Inn,MalPatSaj_wikipedia
Austria Wirtschaftsservice Gesellschaft (aws),Financials,Banks,Vienna,MalPatSaj_wikipedia
Austrian Airlines,Consumer services,Airlines,Schwechat,MalPatSaj_wikipedia
AVL,Industrials,Business support services,Graz,MalPatSaj_wikipedia
B&R,Industrials,Electronic equipment,Eggelsberg,MalPatSaj_wikipedia
Bank Austria,Financials,Banks,Vienna,MalPatSaj_wikipedia
bauMax,Consumer services,Home improvement retailers,Klosterneuburg,MalPatSaj_wikipedia
BAWAG,Financials,Banks,Vienna,MalPatSaj_wikipedia
Bene AG,Consumer goods,Furnishings,Waidhofen an der Ybbs,MalPatSaj_wikipedia
Bestattung Wien,Consumer services,Specialized consumer services,Vienna,MalPatSaj_wikipedia
Billa,Consumer services,Food retailers & wholesalers,Wiener Neudorf,MalPatSaj_wikipedia
Böhler-Uddeholm,Basic materials,Iron & steel,Vienna,MalPatSaj_wikipedia
Borealis,Basic materials,Commodity chemicals,Vienna,MalPatSaj_wikipedia
Bösendorfer,Consumer goods,Recreational products,Vienna,MalPatSaj_wikipedia
Bundesimmobiliengesellschaft (BIG),Financials,Real estate holding & development,Vienna,MalPatSaj_wikipedia
Cineplexx Cinemas,Consumer services,Recreational services,Vienna,MalPatSaj_wikipedia
CISC Semiconductor,Technology,Semiconductors,Klagenfurt,MalPatSaj_wikipedia
Delfortgroup,Basic materials,Paper,Traun,MalPatSaj_wikipedia
Dependeq,Industrials,Business support services,Vienna,MalPatSaj_wikipedia
