company_market_cap,company_employees,brand name,category,file_name
Regional,1|1,Sony,Consumer electronics,campaignindia
Regional,2|2,Samsung,Electronics/White goods,campaignindia
Regional,3|3,Panasonic,Consumer electronics,campaignindia
Regional,4|4,LG,Electronics/White goods,campaignindia
Regional,5|5,Canon,Camera/Office equipment,campaignindia
Regional,6|9,Apple,Mobile Phone,campaignindia
Regional,7|10,Hewlett-Packard,Computer,campaignindia
Regional,8|6,Google,Internet search engine,campaignindia
Regional,9|8,NestlÃ©,Food and drink,campaignindia
Regional,10|13,Nike,Sports retail,campaignindia
Regional,11|12,McDonaldâs,Fast food,campaignindia
Regional,12|16,adidas,Sports retail,campaignindia
Regional,13|11,Coca-Cola,Soft drinks,campaignindia
Regional,14|17,7-Eleven,Convenience store,campaignindia
Regional,15|14,Starbucks,Coffee chain,campaignindia
Regional,16|18,Colgate,Toothpaste,campaignindia
Regional,17|20,Facebook,Social networking,campaignindia
Regional,18|7,Yahoo,Internet search engine,campaignindia
Regional,19|15,Honda,Car/Motorcycle,campaignindia
Regional,20|26,Toshiba,Electronics/White goods,campaignindia
Regional,21|22,Microsoft,Computer Software,campaignindia
Regional,22|29,Maggi,Instant Noodles,campaignindia
Japan. Korea,23|21,Lotte,Chewing/ Bubble gum,campaignindia
Greater China. Southeast Asia,24|24,KFC,Fast-Food,campaignindia
Regional,25|30,Nikon,Camera,campaignindia
Regional,26|25,Hitachi,Consumer Electronics,campaignindia
Regional,27|23,Sharp,Consumer Electronics,campaignindia
Regional,28|19,Nokia,Mobile Phone,campaignindia
Regional,29|60,Playstation,Gaming Console,campaignindia
Regional,30|28,Chanel,Fragrance/Perfume/Luxury Fashion Retailer,campaignindia
Regional,31|36,Dove,Shower Gel/Soap /Shampoo,campaignindia
Regional,32|35,Pepsi,Carbonated Soft Drink,campaignindia
Regional,33|45,NescafÃ©,Coffee,campaignindia
Regional,34|37,Cadbury,Chocolate,campaignindia
Regional,35|32,Mitsubishi,Consumer electronics,campaignindia
Regional,36|50,Epson,Printer,campaignindia
Greater China,37|39,Uni-president,Instant Noodles,campaignindia
Regional,38|33,Yamaha,Motorcycle,campaignindia
Greater China. Southeast Asia,39|46,Shell,Petrol/Gas Station,campaignindia
Regional,40|47,DHL,Courier Company,campaignindia
Regional,41|43,Toyota,Car/Automobile,campaignindia
Regional,42|42,Rolex,Watch,campaignindia
Regional,43|27,Meiji,Food,campaignindia
Greater China. Southeast Asia,44|55,Darlie,Toothpaste,campaignindia
Regional,45|48,Michelin,Tyre,campaignindia
Regional,46|31,Nintendo,Gaming Console,campaignindia
Regional,47|52,Lux,Shower Gel/Soap,campaignindia
Regional,48|61,HÃ¤agen-Dazs,Ice-cream,campaignindia
Regional,49|54,BMW,Car/Automobile,campaignindia
Regional,50|62,Dell,Computer,campaignindia
Regional,51|53,Bridgestone,Tyre,campaignindia
Regional,52|63,VISA,Credit Card,campaignindia
Regional,53|57,LâOrÃ©al,Cosmetics/Skincare Shampoo,campaignindia
Regional,54|77,Pantene,Shampoo,campaignindia
Regional,55|34,Shiseido,Cosmetics,campaignindia
Regional,56|41,Pampers,Diaper,campaignindia
Regional,57|49,Philips,Consumer Electronics,campaignindia
Southeast Asia,58|66,Air Asia,Budget Airlines,campaignindia
Regional,59|70,Mercedes-Benz,Car/Automobile,campaignindia
Regional,60|123,Twitter,Social Networking Site,campaignindia
Greater China. Southeast Asia,61|44,Watsons,Pharmacy/Drugstore,campaignindia
Regional,62|56,Nivea,Skincare,campaignindia
Taiwan. Thailand,63|85,FamilyMart,Convenience Store,campaignindia
Regional,64|81,HSBC,Bank,campaignindia
Regional,65|78,Citibank,Bank,campaignindia
Regional,66|67,Christian Dior,Fragrance/Perfume/Cosmetics,campaignindia
Regional,67|82,Nissin,Instant Noodles,campaignindia
Regional,68|65,Huggies,Diaper,campaignindia
Greater China. Southeast Asia,69|58,FedEx,Courier Company,campaignindia
Regional,70|76,Acer,Computer,campaignindia
Regional,71|69,Pocari Sweat,Sports Drink,campaignindia
Greater China. Southeast Asia,72|71,Kao,Detergent,campaignindia
Regional,73|90,Ferrero Rocher,Chocolate,campaignindia
Regional,74|88,AIA,Insurance,campaignindia
Greater China. Southeast Asia,75|74,Singapore,Full-service Airlines,campaignindia
Regional,76|40,Lipton,Tea,campaignindia
Regional,77|59,Marlboro,Cigarette,campaignindia
Greater China,78|114,MasterKong,Instant Noodles,campaignindia
Regional,79|91,MasterCard,Credit Card,campaignindia
Regional,80|68,Gatorade,Sports Drink,campaignindia
Regional,81|64,Gucci,Luxury Fashion Retailer,campaignindia
Regional,82|92,Kelloggâs,Cereal,campaignindia
Regional,83|95,Heineken,Beer,campaignindia
Japan. Singapore,84|94,Daikin,Air Conditioner,campaignindia
Regional,85|98,Head & Shoulders,Shampoo,campaignindia
Regional,86|104,SK-II,Female Skincare Product,campaignindia
Regional,87|83,Wrigleyâs Arrow,Chewing/Bubble Gum,campaignindia
Regional,88|75,Sanyo,Consumer Electronics,campaignindia
India,89|73,Amul,Milk powder/Milk/Ice-cream,campaignindia
Regional,90|100,Hyundai,Car/Automobile,campaignindia
Regional,91|122,LancomÃ©,Cosmetics/Fagrance/Female Skincare,campaignindia
Regional,92|109,Seiko,Watch,campaignindia
Regional,93|121,Wallâs,Ice-cream,campaignindia
Regional,94|111,Casio,Watch,campaignindia
Regional,95|131,Xbox,Gaming Console,campaignindia
Malaysia. Thailand,96|126,Tesco,Supermarket,campaignindia
Singapore,97|89,NTUC FairPrice,Supermarket,campaignindia
Regional,98|107,Whirlpool,White Goods,campaignindia
Regional,99|106,Olay,Female Skincare Product,campaignindia
Regional,100|532,HTC,Mobile Phone,campaignindia
Regional,101|105,Evian,Mineral Water,campaignindia
China. India,102|108,Haier,Consumer Electronics,campaignindia
Regional,103|115,Sunsilk,Shampoo,campaignindia
Regional,104|125,Hilton,Hotel,campaignindia
Regional,105|93,Cathay Pacific,Full-service Airlines,campaignindia
Regional,106|79,Heinz,Baby Food (excluding milk powder),campaignindia
Regional,107|72,Sony Ericsson,Mobile Phone,campaignindia
Southeast Asia. India,108|120,100 Plus,Sports Drink,campaignindia
China. Japan,109|87,Morinaga,Sweets and Candy,campaignindia
Southeast Asia. Taiwan,110|155,Breeze,Detergent,campaignindia
Regional,111|124,Caltex,Petrol/Gas Station,campaignindia
Regional,112|165,Vodafone,Mobile Service Provider,campaignindia
China. Japan. Southeast Asia,113|153,Esso,Petrol/Gas Station,campaignindia
Regional,114|86,Johnson & Johnson,Personal Care,campaignindia
Regional,115|101,Calvin Klein,Fragrance/Perfume/Luxury Fashion Retailer,campaignindia
India,116|140,Kingfisher,Beer/Full-service Airlines,campaignindia
Regional,117|134,Fujitsu,Computer,campaignindia
Australia. Southeast Asia,118|84,Guardian,Pharmacy/Drugstore,campaignindia
Regional,119|102,Suzuki,Motorcycle,campaignindia
Regional,120|173,Baskin Robbins,Ice-cream,campaignindia
Regional,121|170,Lenovo,Computer,campaignindia
Regional,122|132,Omega,Watch,campaignindia
Regional,123|118,Louis Vuitton (LV),Luxury Fashion Retailer,campaignindia
Hong Kong. Taiwan,124|146,Wellcome,Supermarket,campaignindia
Australia,125|127,Coles,Supermarket,campaignindia
Regional,126|117,Armani,Menâs Fashion Retailer,campaignindia
China. Southeast Asia,127|194,Lee Kum Kee,Sauce/Condiment,campaignindia
Regional,128|133,Johnnie Walker,Spirits,campaignindia
Regional,129|188,Reebok,Sporting Apparel,campaignindia
Regional,130|147,Layâs,Snack Food,campaignindia
Malaysia. Singapore,131|129,Marigold,Fruit Juice,campaignindia
China. Japan,132|185,Circle K,Convenience Store,campaignindia
Regional,133|143,Harley Davidson,Motorcycle,campaignindia
Regional,134|138,Goodyear,Tyre,campaignindia
Malaysia. Singapore,135|97,Quaker,Cereal,campaignindia
Regional,136|130,Carlsberg,Beer,campaignindia
Regional,137|167,Puma,Sporting Equipment/Apparel,campaignindia
Australia. Southeast Asia,138|137,Jetstar,Budget Airlines,campaignindia
Regional,139|151,Thai Airways,Full-service Airlines,campaignindia
Regional,140|199,Asus,Computer,campaignindia
Regional,141|116,JVC,Camcorder,campaignindia
Regional,142|161,Prudential (UK),Insurance,campaignindia
Hong Kong. Japan. Korea,143|190,Maxims,Coffee,campaignindia
Regional,144|181,Lion,Toothpaste,campaignindia
Regional,145|446,BlackBerry,Mobile Phone,campaignindia
Regional,146|174,Olympus,Camera,campaignindia
Regional,147|176,Extra,Chewing/Bubble Gum,campaignindia
China. Japan. Korea. Taiwan,148|227,Suntory,Spirits/Beer,campaignindia
Australia. India. Southeast Asia,149|195,Garnier,Skincare Product,campaignindia
Regional,150|148,Rejoice,Shampoo,campaignindia
Regional,151|168,Virgin,Full-service Airlines,campaignindia
Regional,152|184,Doublemint,Chewing/Bubble Gum,campaignindia
Regional,153|152,Palmolive,Shower Gel/Soap,campaignindia
Regional,154|150,IBM,Computer,campaignindia
China. Japan. Southeast Asia,155|142,Mamy Poko,Diaper,campaignindia
Australia. China,156|198,Dettol,Shower Gel/Soap,campaignindia
Regional,157|145,EstÃ©e Lauder,Cosmetics,campaignindia
Regional,158|113,Clinique,Female Skincare Product/Cosmetics,campaignindia
China,159|206,Mengniu,Milk,campaignindia
Regional,160|259,Lindt,Chocolate,campaignindia
Regional,161|268,Hersheyâs,Chocolate,campaignindia
Regional,162|169,Cartier,Jewellery,campaignindia
Regional,163|164,Malaysia Airlines,Full-service Airlines,campaignindia
Regional,164|204,Tropicana,Fruit Juice,campaignindia
China,165|186,Baidu,Internet Search Engine,campaignindia
Regional,166|228,Pondâs,Female Skincare Product,campaignindia
Regional,167|159,Dutch Lady,Milk,campaignindia
China. Hong Kong,168|254,Bank of China,Bank,campaignindia
India. Singapore,169|157,BATA,Shoes,campaignindia
China. Japan. Southeast Asia,170|141,Carrefour,Supermarket,campaignindia
China. Singapore,171|158,Tsingtao,Beer,campaignindia
Malaysia. Singapore,172|207,Maybank,Bank,campaignindia
China. Japan. Korea,173|189,Kirin,Beer,campaignindia
Korea,174|212,Kookmin Bank (KB),Bank,campaignindia
Regional,175|149,Dunlop,Tyre,campaignindia
Regional,176|192,Red Bull,Sports Drink,campaignindia
Regional,177|200,UPS,Courier Company,campaignindia
Regional,178|154,Tiger Airways,Budget Airlines,campaignindia
Singapore,179|253,Swensenâs,Ice-cream,campaignindia
Regional,180|110,Pedigree,Pet Food,campaignindia
Korea,181|103,Naver,Internet Search Engine,campaignindia
China. Taiwan,182|163,Wei Chuan,Food and Beverage,campaignindia
China,183|203,China Mobile,Mobile Service Provider,campaignindia
India,184|248,Big Bazaar,Supermarket,campaignindia
China. Taiwan,185|201,Dove (Chocolate),Chocolate,campaignindia
Hong Kong. Thailand,186|211,Mama,Instant Noodles,campaignindia
Taiwan,187|215,CPC (Taiwan),Petrol/Gas Station,campaignindia
Regional,188|591,Bing,Internet Search Engine,campaignindia
Hong Kong. Southeast Asia,189|336,Standard Chartered,Bank,campaignindia
Regional,190|234,Siemens,Consumer Electronics,campaignindia
Regional,191|219,ANA,Full-service Airlines,campaignindia
Regional,192|144,Tiffany & Co.,Jewellery,campaignindia
China,193|265,Minute Maid,Fruit Juice,campaignindia
Regional,194|222,Burger King,Fast-Food,campaignindia
Southeast Asia,195|183,Tiger Beer,Beer,campaignindia
Singapore,196|244,Singtel,Mobile Service Provider,campaignindia
Korea,197|171,Korean Air,Full-service Airlines,campaignindia
Japan,198|250,NTT,Mobile Service Provider,campaignindia
Regional,199|210,Qantas,Full-service Airlines,campaignindia
China. Korea,200|236,Nongshim,Instant Noodles,campaignindia
Regional,201|177,Ralph Lauren,Menâs Fashion Retailer/Fragrance,campaignindia
Thailand,202|230,Siam Commercial Bank,Bank,campaignindia
Korea,203|197,Asiana,Full-service Airlines,campaignindia
China. Hong Kong,204|231,Park n shop,Supermarket,campaignindia
Korea,205|179,Seoul Milk,Milk,campaignindia
China. Southeast Asia,206|208,G2000,Menâs and Womenâs Fashion Retailer,campaignindia
Korea,207|225,SK Telecom,Mobile Service Provider,campaignindia
Regional,208|139,Dunhill,Cigarette,campaignindia
Regional,209|269,Adobe,Computer Software,campaignindia
Korea,210|242,Shinhan bank,Bank,campaignindia
Korea,211|275,Lotteria,Fast-Food,campaignindia
Japan,212|251,Kuroneko Yamato,Courier Company,campaignindia
Singapore,213|271,DBS,Bank,campaignindia
Regional,214|162,Pioneer,Consumer Electronics,campaignindia
India,215|182,ICICI Bank,Bank,campaignindia
India,216|226,State Bank of India (SBI),Bank,campaignindia
Australia,217|345,Telstra,Mobile Service Provider,campaignindia
Regional,218|223,Citizen,Watch,campaignindia
China. India. Southeast Asia,219|180,Dumex,Milk Powder,campaignindia
Regional,220|119,Avon,Cosmetics,campaignindia
India,221|301,Airtel,Mobile Service Provider,campaignindia
China. Hong Kong,222|214,Sinopec,Petrol/Gas Station,campaignindia
Regional,223|375,Asahi,Beer,campaignindia
Thailand,224|261,PTT,Petrol/Gas Station,campaignindia
Australia. Southeast Asia,225|217,Coffee Bean,Coffee Shop,campaignindia
Japan. Hong Kong. Singapore,226|300,Mos Burger,Fast-Food,campaignindia
Regional,227|175,China Airlines,Full-service Airlines,campaignindia
Regional,228|263,NEC,Computer,campaignindia
Regional,229|316,Sunkist,Fruit Juice,campaignindia
Korea,230|294,KTF,Mobile Service Provider,campaignindia
Japan,231|196,Japan Airlines (JAL),Full-service Airlines,campaignindia
Taiwan,232|427,China Trust,Bank,campaignindia
Australia,233|235,Woolworths,Supermarket,campaignindia
Regional,234|283,Sprite,Carbonated Soft Drink,campaignindia
Regional,235|202,Shangri-La,Hotel,campaignindia
China. Hong Kong,236|216,Yili,Milk,campaignindia
Regional,237|367,Electrolux,White Goods,campaignindia
Malaysia. Singapore,238|246,F&N,Carbonated Soft Drink,campaignindia
Taiwan,239|172,Chunghwa Telecom (CHT),Mobile Service Provider,campaignindia
China,240|332,ICBC Asia,Bank,campaignindia
Regional,241|321,Tag Heuer,Watch,campaignindia
China,242|351,China Merchants Bank,Credit Card/Bank,campaignindia
China. Southeast Asia,243|241,The Body Shop,Shower Gel/Soap,campaignindia
India. Malaysia. Singapore,244|276,Giant,Supermarket,campaignindia
Malaysia,245|233,Old Town,Coffee Shop,campaignindia
Korea,246|New entry,Hankook,Tyre,campaignindia
Taiwan,247|270,Taiwan Beer,Beer,campaignindia
Regional,248|218,Bulgari,Fragrance/Jewellery,campaignindia
Regional,249|370,Nissan,Car/Automobile,campaignindia
Korea,250|255,Kumkang,Menâs Shoes,campaignindia
Regional,251|479,Emirates,Full-service Airlines,campaignindia
India,252|290,LIC,Insurance,campaignindia
Thailand,253|299,Kasikorn Bank,Bank,campaignindia
Singapore,254|359,Fisher & Paykel,White Goods,campaignindia
Regional,255|287,Sensodyne,Toothpaste,campaignindia
Regional,256|224,Yokohama,Tyre,campaignindia
Regional,257|344,Brother,Printer,campaignindia
Australia. Southeast Asia,258|320,British Petroleum (BP),Petrol/Gas Station,campaignindia
Regional,259|262,Hyatt,Hotel,campaignindia
Taiwan,260|258,Supau,Sports Drink,campaignindia
China,261|295,CPC (China),Petrol/Gas Station,campaignindia
Australia. Singapore,262|465,Moccona,Coffee,campaignindia
Australia. Hong Kong. Japan,263|281,Powerade,Sports Drink,campaignindia
India,264|396,Cafe Coffee Day,Coffee,campaignindia
Thailand,265|337,Advance Info Service,Mobile Service Provider,campaignindia
Regional,266|99,MSN,Social Networking site,campaignindia
Australia. China,267|395,OMO,Detergent,campaignindia
Hong Kong. Thailand,268|324,Singha,Beer,campaignindia
Australia. China. Southeast Asia,269|472,Subway,Fast-Food,campaignindia
India,270|292,Titan,Watch,campaignindia
China. Hong Kong,271|323,Chow Tai Fook,Jewellery,campaignindia
China. Japan,272|331,Lawson,Convenience Store,campaignindia
Korea. Singapore,273|260,SK,Petrol/Gas Station,campaignindia
Thailand,274|315,DTAC,Mobile Service Provider,campaignindia
Hong Kong,275|New entry,Ethnicans,Savoury Snack Food,campaignindia
Regional,276|380,Godiva,Chocolate,campaignindia
Hong Kong,277|322,Pacific Coffee,Coffee Shop,campaignindia
Regional,278|394,Audi,Car/Automobile,campaignindia
Regional,279|191,Amway,Toothpaste,campaignindia
Hong Kong,280|335,CafÃ© De Coral,Fast-Food,campaignindia
Australia. India,281|399,Surf,Detergent,campaignindia
Korea,282|713,GS 25,Convenience Store,campaignindia
Regional,283|229,Mild Seven,Cigarette,campaignindia
Malaysia,284|277,Maxis,Mobile Service Provider,campaignindia
Regional,285|390,Kawasaki,Motorcycle,campaignindia
India. Malaysia. Singapore,286|306,Bru,Coffee,campaignindia
Hong Kong. Southeast Asia,287|309,Fab,Detergent,campaignindia
India,288|289,Lakme,Cosmetics,campaignindia
Australia,289|305,Optus,Mobile Service Provider,campaignindia
India,290|341,HDFC Bank,Bank,campaignindia
Regional,291|334,Pringles,Snack Food,campaignindia
Australia. Singapore,292|297,Westinghouse,White Goods,campaignindia
Korea,293|187,Haitai,Food,campaignindia
