company_name,company_industry,company_market_cap,company_employees,country,file_name
Apple,Tech|Software|Dow jones|Tech Hardware|Electronics,$2.351 T|$147.81|-0.34%|-9.74%,1,USA,companiesMarketCap_dataset
Bristol-myers Squibb,Pharmaceuticals|Biotech,$172.49 B|$81.13|0.31%|46.42%,57,USA,companiesMarketCap_dataset
Wells Fargo,Banks|Financial services,$175.05 B|$45.94|-1.98%|-6.07%,56,USA,companiesMarketCap_dataset
Nike,Sports goods|Footwear|Dow jones|Clothing,$175.54 B|$112.20|1.29%|-34.00%,55,USA,companiesMarketCap_dataset
Walt Disney,Entertainment|Dow jones,$177.08 B|$99.43|0.85%|-32.45%,54,USA,companiesMarketCap_dataset
Abbott Laboratories,Medical devices,$188.46 B|$108.09|0.15%|-15.80%,53,USA,companiesMarketCap_dataset
Accenture,Professional services,$189.25 B|$300.13|-0.89%|-17.84%,52,Ireland,companiesMarketCap_dataset
T-mobile Us,Telecommunication,$189.62 B|$152.41|0.40%|38.10%,51,USA,companiesMarketCap_dataset
Novartis,Pharmaceuticals|Biotech,$194.41 B|$89.99|0.19%|12.56%,50,Switzerland,companiesMarketCap_dataset
Toyota,Automakers|Manufacturing,$199.92 B|$146.53|-0.77%|-20.00%,48,Japan,companiesMarketCap_dataset
Danaher,Conglomerate,$199.62 B|$274.23|-0.11%|-13.23%,49,USA,companiesMarketCap_dataset
Mcdonald,Restaurant chains|Dow jones|Food,$200.24 B|$273.40|0.00%|9.89%,47,USA,companiesMarketCap_dataset
Icbc,Banks|Financial services,$201.96 B|$0.49|-2.30%|-10.91%,46,China,companiesMarketCap_dataset
L'oréal,Consumer goods|CAC 40|Cosmetics and Beauty,$204.92 B|$379.90|0.66%|-15.71%,44,France,companiesMarketCap_dataset
Cisco,Tech|Electronics|Networking hardware|Dow jones|Telecommunications equipment|Tech Hardware,$204.17 B|$49.70|-0.54%|-11.49%,45,USA,companiesMarketCap_dataset
Shell,Oil&Gas|Energy,$206.97 B|$57.72|-0.57%|31.57%,43,UK,companiesMarketCap_dataset
Costco,Retail|Supermarket Chains,$218.88 B|$494.53|-1.85%|-5.90%,41,USA,companiesMarketCap_dataset
Astrazeneca,Pharmaceuticals|Biotech,$213.83 B|$68.47|0.19%|24.97%,42,UK,companiesMarketCap_dataset
Thermo Fisher Scientific,Scientific & Technical Instruments|Diagnostics and Testing|Biotech,$220.80 B|$563.00|-0.28%|-10.29%,39,USA,companiesMarketCap_dataset
Broadcom,Semiconductors|Tech,$219.02 B|$540.80|-1.81%|-2.11%,40,USA,companiesMarketCap_dataset
Reliance Industries,Conglomerate,$226.23 B|$33.44|-0.04%|1.03%,37,India,companiesMarketCap_dataset
Oracle,Tech|Software,$224.72 B|$83.35|-0.90%|-7.38%,38,USA,companiesMarketCap_dataset
Asml,Semiconductors|Tech|Tech Hardware,$247.88 B|$605.71|-0.91%|-23.27%,35,Netherlands,companiesMarketCap_dataset
Alibaba,E-Commerce|Tech|Internet|Retail,$240.69 B|$90.06|4.79%|-26.18%,36,China,companiesMarketCap_dataset
Merck,Pharmaceuticals|Dow jones|Biotech,$278.99 B|$110.04|0.22%|48.92%,31,USA,companiesMarketCap_dataset
Coca-cola,Beverages|Dow jones,$278.28 B|$64.35|0.88%|21.25%,32,USA,companiesMarketCap_dataset
Roche,Pharmaceuticals|Biotech,$270.73 B|$329.15|-0.56%|-16.63%,33,Switzerland,companiesMarketCap_dataset
Novo Nordisk,Pharmaceuticals|Biotech,$285.74 B|$126.90|0.61%|19.00%,30,Denmark,companiesMarketCap_dataset
Abbvie,Biotech|Pharmaceuticals,$289.42 B|$163.66|1.26%|40.04%,28,USA,companiesMarketCap_dataset
Pfizer,Pharmaceuticals|Biotech,$285.77 B|$50.91|-0.33%|-4.02%,29,USA,companiesMarketCap_dataset
Kweichow Moutai,Alcoholic beverages|Beverages,$292.41 B|$232.78|0.19%|-23.36%,26,China,companiesMarketCap_dataset
Bank Of America,Banks|Financial services,$289.44 B|$36.08|-1.29%|-19.63%,27,USA,companiesMarketCap_dataset
Nestlé,Food,$331.82 B|$120.66|-0.63%|-5.70%,23,Switzerland,companiesMarketCap_dataset
Meta Platforms (facebook),Tech|Internet,$327.43 B|$123.49|2.53%|-60.21%,24,USA,companiesMarketCap_dataset
Samsung,Tech|Electronics|Tech Hardware|Manufacturing|Semiconductors,$312.57 B|$46.54|-3.51%|-27.73%,25,South Korea,companiesMarketCap_dataset
Home Depot,Retail|Dow jones,$334.28 B|$327.99|0.28%|-19.56%,22,USA,companiesMarketCap_dataset
Chevron,Oil&Gas|Dow jones|Energy,$350.04 B|$181.03|-0.80%|57.23%,20,USA,companiesMarketCap_dataset
Mastercard,Financial services,$346.18 B|$360.06|-0.21%|12.45%,21,USA,companiesMarketCap_dataset
Procter & Gamble,Dow jones|Consumer goods,$356.90 B|$150.61|0.91%|2.27%,18,USA,companiesMarketCap_dataset
Eli Lilly,Pharmaceuticals|Biotech,$356.08 B|$374.76|1.20%|51.19%,19,USA,companiesMarketCap_dataset
