company_industry,company_country,company_employees,company_website,company_nace_code,name,file_name
Ecommerce,Philippines,385,https://www.greatdealscorp.com/,88.77,Great Deals E-Commerce Corp.,ft
Pharmaceuticals,South Korea,63,http://www.pclchip.com/,45.48,PCL Inc.,ft
Games industry,South Korea,47,https://www.spolive.com/,9.49,Spolive,ft
Support Services,Singapore,82,https://www.workmate.asia/,12.44,Workmate,ft
Pharmaceuticals,Taiwan,78,http://www.taimedbiologics.com/,24.42,TaiMed Biologics,ft
Ecommerce,Singapore,164,https://www.sciecomm.com/,108.46,SCI Ecommerce,ft
Food & Beverage,Thailand,7,http://www.icychaya.co.th/,44.04,I-CY CHAYA ,ft
Fintech,Australia,52,https://www.grow.com.au/,15.02,Grow Finance,ft
Industrial Goods,India,355,https://sambhv.com/,64.65,SAMBHV Steel,ft
Technology,Philippines,108,https://www.inteluck.com/,7.06,INTELUCK,ft
Technology,Singapore,400,https://carro.sg/,86.35,Carro,ft
Food & Beverage,South Korea,101,https://www.gopizza.kr/,6.17,GOPIZZA,ft
Education,India,594,https://www.interviewbit.com/,31.04,Scaler by InterviewBit,ft
Technology,Japan,61,https://pixiedusttech.com/,4.56,Pixie Dust Technologies,ft
Ecommerce,Indonesia,54,http://www.kioson.com/,204.99,Kioson,ft
Ecommerce,Singapore,92,https://www.sciecomm.com/,46.08,SCI Ecommerce,ft
Energy,New Zealand,22,https://www.electrickiwi.co.nz/,35.63,Electric Kiwi,ft
Technology,Finland,218,https://swappie.com/,97.611.814,Swappie,ft
Transport,Singapore,21,https://www.haulio.io/,5.62,Haulio,ft
Technology,India,13,https://www.digio.in/,6.75,Digio,ft
Ecommerce,India,60,https://www.skillmatics.in/,7.42,Skillmatics,ft
Sales & Marketing,Japan,40,http://www.strgl.co.jp/,24.81,Struggle,ft
Technology,India,285,https://themathcompany.com/,7.56,TheMathCompany,ft
Health,Lithuania,177,https://kilo.health/,57.318.766,Kilo Health,ft
Financial Services,UK,32,https://www.oci-group.co.uk/,568.322.073,OCI,ft
Fintech,India,202,https://www.roinetsolution.com/,23.52,ROINET Solution,ft
Support Services,Singapore,318,https://glints.com/,9.78,Glints Intern,ft
Property,Japan,34,https://reqrea.co.jp/,3.36,Reqrea,ft
Financial Services,India,182,http://www.roinetsolution.com/,17.91,ROINET Solution,ft
Technology,Japan,28,https://www.gvm-av.com/,7.18,Global Vision Multimedia,ft
Technology,UK,800,https://onlyfans.com/,316.732.986,OnlyFans,ft
Energy,UK,575,https://bulb.com,1.737.586.657,Bulb Energy,ft
Property,India,120,https://amberstudent.com/,3.64,Amberstudent,ft
Telecoms,Australia,100,https://www.tangerinetelecom.com.au/,35.24,Tangerine Telecom,ft
Financial Services,India,39,https://omkaraarc.com/,10.71,Omkara,ft
Technology,Singapore,135,https://roadbull.com/,6.76,Roadbull Logistics,ft
Technology,Japan,67,https://inside.ai/,14.63,AI inside,ft
Transport,Australia,7,https://www.sgslogistics.com.au/,8.38,SGS Logistics,ft
Energy,Germany,365,https://www.enpal.de/,56.109.613,Enpal,ft
Fintech,Latvia,750,https://sunfinance.group,101.475.796,Sun Finance,ft
Ecommerce,South Korea,1.046,https://www.kurly.com/,807.49,MarketKurly,ft
Waste management & recycling,India,1.096,https://www.zigma.in/,21.69,Zigma Global,ft
Technology,India,60,https://greedygame.com/,9.45,GreedyGame,ft
Technology,Taiwan,229,https://www.ecloudvalley.com/,209.25,eCloudvalley,ft
Retail,India,600,https://www.wakefit.co/,28.21,Wakefit,ft
Waste management & recycling,Germany,9,https://www.mrc-herford.de/,13.165.586,MR Consulting,ft
Energy,UK,46,https://www.everflowgroup.co.uk,55.902.990,Everflow Group,ft
Technology,India,186,https://sankeysolutions.com/,2.61,Sankey Solutions,ft
Technology,Singapore,974,https://carro.sg/,215.01,Carro,ft
Fintech,Singapore,30,https://www.360f.com/,3.63,360F,ft
Transport,Singapore,25655,https://www.ninjavan.co/,249.53,Ninja Van Logistics,ft
Games industry,South Korea,42,http://www.spolivecorp.co.kr/,12.01,Spolive,ft
Automobiles,Malaysia,672,https://www.carsome.com/,203.94,Carsome,ft
Health,UK,57,https://thriva.co/,18.732.563,Thriva,ft
Construction,UK,85,https://glencar.com,110.298.923,Glencar Construction,ft
Waste management & recycling,Singapore,26,https://www.brmetalsltd.com/,143.12,BR Metals,ft
Personal & Household Goods,Singapore,20,https://www.bulkings.com.sg/,10.65,Bulkings Distribution,ft
Pharmaceuticals,South Korea,72,http://www.tnrbiofab.com/,5.77,T&R Biofab,ft
Ecommerce,South Korea,358,https://www.kurly.com/,369.66,Market Kurly,ft
Telecoms,Singapore,25,https://www.bluewireless.com/,2.80,Blue Wireless,ft
Industrial Goods,France,200,https://www.exotec.com/,47.597.000,Exotec,ft
Ecommerce,Italy,10,https://www.winelivery.com/,7.337.290,Winelivery,ft
Technology,Poland,376,https://spyro-soft.com,16.635.991,Spyrosoft,ft
Financial Services,United Kingdom,155,https://blue.co.uk,61.4,Blue Motor Finance,ft
Technology,Japan,102,https://inside.ai/,43.06,AI inside,ft
Technology,India,25,https://www.flexingit.com/,3.13,Flexing It,ft
Fashion,Philippines,43,http://www.stylistinpocket.com/,1.56,Stylist in Pocket Technologies. Inc.,ft
Travel & Leisure,Singapore,1556,https://www.reddoorz.com/,8.50,RedDoorz,ft
Support Services,South Korea,64,https://www.cardoc.co.kr/,18.98,Cardoc,ft
Personal & Household Goods,New Zealand,9,https://ethiqueworld.com/,12.83,Ethique,ft
Technology,Sweden,117,https://instabox.io/se-en/,24.484.879,Instabox,ft
Food & Beverage,Austria,180,https://eu.waterdrop.com/,41.205.930,Waterdrop,ft
Technology,Germany,91,https://www.kolibrigames.com,53.500.970,Kolibri Games**,ft
Food & Beverage,United Kingdom,1664,https://deliveroo.co.uk,316.1,Deliveroo,ft
Technology,Estonia,350,https://www.taxify.eu,17.8,Taxify,ft
Fintech,Singapore,422,https://www.nium.com/,15.98,Nium,ft
Technology,Japan,65,https://corporate.yamap.co.jp/,7.20,YAMAP,ft
Technology,New Zealand,31,https://dovetailstudios.com/,8.47,Dovetail,ft
Technology,New Zealand,28,https://www.kamiapp.com/,2.16,Kami,ft
Support Services,France,11,http://www.one-lease.fr/,9.015.211,One Lease,ft
Batteries,Sweden,38,https://polarium.com,43.207.400,Polarium Energy Solutions,ft
Technology,Germany,30,https://www.solectric.de,40.9,Solectric,ft
Media,Japan,29,https://harch.jp/,5.18,Harch,ft
Sales & Marketing,Japan,30,https://www.i-goods.co.jp/,30.01,IGOODS,ft
Waste management & recycling,Singapore,16,https://www.brmetalsltd.com/,107.40,BR Metals,ft
Energy,Australia,203,http://www.smartenergygroup.com.au/,34.64,Smart Energy Group,ft
Technology,India,1050,https://razorpay.com/,73.76,Razorpay,ft
Technology,Italy,251,https://datlas.it/en/,9.034.926,Datlas*,ft
Fintech,UK,7,https://www.crossflowpayments.co.uk,14.333.126,Crossflow Payment Solutions Trading,ft
Pharmaceuticals,United Kingdom,69,https://www.psioxus.com,64.4,Psioxus Therapeutics,ft
Personal & Household Goods,Singapore,22,https://www.hegen.com/,24.31,Hegen,ft
Architecture,Japan,10,https://kaleidojapan.com/,5.45,KALEIDO JAPAN,ft
Financial Services,Singapore,7,https://www.redpeak.sg/,10.11,Redpeak Advisers,ft
