company_name,company_industry,company_country,company_market_cap,company_nace_code,address,file_name
US Ecology Inc,Environmental and Waste Management Services,United States of America,$988.0M,3.600,101 S Capitol Blvd Ste 1000. Boise. Idaho. 83702,output_globaldata
Mercury Systems Inc,Aerospace and Defense,United States of America,$2.7B|$988.2M,2.386,50 Minuteman Drive. Andover. Massachusetts. 01810,output_globaldata
Xiwang Foodstuffs Co Ltd,Consumer Packaged Goods,China,$787.4M|$985.2M,1.892,Xiwang Industrial Park. Zouping County. Binzhou. Shandong . 256209,output_globaldata
Shenzhen Hepalink Pharmaceutical Group Co Ltd,Pharmaceuticals and Healthcare,China,$2.7B|$986.9M,2.046,No. 19. Hi-Tech Zhongyi Avenue. Middle Area. Hi-Tech Zone . Nanshan Dist. Shenzhen. Guangdong. 518057,output_globaldata
Kingsoft Corporation Ltd,Technology and Communications,Hong Kong,$5.0B|$987.8M,7.174,Kingsoft Tower. No. 33. Xiaoying West Road. Haidian District. Beijing. 100085,output_globaldata
Petropavlovsk PLC,Metals and Mining,United Kingdom,$988.5M,8.860,11 Grosvenor Place. London. SW1X7HH,output_globaldata
VAT Group AG,Industrial Goods and Machinery,Switzerland,$9.5B|$986.0M,2.897,Seelistrasse 1. Haag. Rheintal. 9469,output_globaldata
Software AG,Technology and Communications,Germany,$2.1B|$986.0M,5.052,Uhlandstrasse 12. Darmstadt. 64297,output_globaldata
3SBio Inc,Pharmaceuticals and Healthcare,China,$2.7B|$989.5M,5.160,No. 3 A1. Road 10. Shenyang Economy & Technology. Development Zone. Liaoning . 110027,output_globaldata
Nomura Co Ltd,Construction,Japan,$821.6M|$988.9M,1.952,2-3-4. Daiba. Minato-Ku. Tokyo. 135-8622,output_globaldata
Sapura Energy Bhd,Energy and Utilities,Malaysia,$184.7M|$990.0M,3.440,No. 7. Jalan Tasik. Mines Resort City. Seri Kembangan. 43300,output_globaldata
DeceunInck NV,Construction,Belgium,$387.8M|$991.0M,3.709,Bruggesteenweg 360. Gits. Hooglede. 8830,output_globaldata
Finnair Oyj,Transport and Logistics,Finland,$768.6M|$991.4M,5.358,Hott. Tietotie 9. Vantaa. 01530,output_globaldata
Alok Industries Ltd,Consumer Packaged Goods,India,$909.4M|$990.0M,26.231,Peninsula Business Park. Tower-B. 2nd & 3rd Floor. G.K.Marg. Mumbai. 400013,output_globaldata
Zhejiang Weixing New Building Materials Co Ltd,Construction,China,$5.4B|$990.3M,4.419,Linhai Economic Development Zone. Taizhou. Zhejiang. 317000,output_globaldata
Redes Energeticas Nacionais SA,Power,Portugal,$1.8B|$991.3M,697,Avenida Dos Estados Unidos Da America. 55. Lisboa. 1749-061,output_globaldata
