company_name,company_country,company_employees,company_website,address name,city,location type,file_name
CNHI. LLC,Alabama(AL)|UNITED STATES,0,https://www.info-clipper.com/en/company/united-states/cnhi-llc.usdg0my8a.html,445 DEXTER AVE,MONTGOMERY,Headquarter,wissel_aziende_info_clipper
CRAIG & ROSE LIMITED,UNITED KINGDOM|UNITED KINGDOM,1,https://www.info-clipper.com/en/company/united-kingdom/craig-rose-limited.gbd3nvwwq.html,7th Floor Suite 1 50 Broadway,LONDON,Single address,wissel_aziende_info_clipper
SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA,ITALY|ITALY,2,https://www.info-clipper.com/en/company/italy/segretariato-generale-della-presidenza-della-repubblica.itdau24gz.html,VIA DELLA DATARIA 96,ROMA,Headquarter,wissel_aziende_info_clipper
BIH REAL ESTATE OU,ESTONIA|ESTONIA,3,https://www.info-clipper.com/en/company/estonia/bih-real-estate-ou.eed8vckdq.html,Narva mnt 6-44,Tallinn,Single address,wissel_aziende_info_clipper
DEVELOPMENTAL SERVICES. CALIFORNIA DEPARTMENT OF,California(CA)|UNITED STATES,4,https://www.info-clipper.com/en/company/united-states/developmental-services-california-department-of.usd97cr8n.html,1215 O ST,SACRAMENTO,Headquarter,wissel_aziende_info_clipper
QIOPTIQ PHOTONICS LIMITED,UNITED KINGDOM|UNITED KINGDOM,5,https://www.info-clipper.com/en/company/united-kingdom/qioptiq-photonics-limited.gbd5rolmu.html,Mitchell Point Ensign Way. Hamble,SOUTHAMPTON,Single address,wissel_aziende_info_clipper
CRISTINA SRL,ITALY|ITALY,6,https://www.info-clipper.com/en/company/italy/cristina-srl.itd73jx12.html,VIA FAVA 56,GOZZANO,Headquarter,wissel_aziende_info_clipper
RECTICEL OU,ESTONIA|ESTONIA,7,https://www.info-clipper.com/en/company/estonia/recticel-ou.eed8uixf6.html,Peterburi tee 48a,Tallinn,Single address,wissel_aziende_info_clipper
LAIRD TECHNOLOGIES. INC.,Missouri(MO)|UNITED STATES,8,https://www.info-clipper.com/en/company/united-states/laird-technologies-inc.usd1abyt.html,16401 SWINGLEY RIDGE RD STE 700,CHESTERFIELD,Headquarter,wissel_aziende_info_clipper
DESIGNERS GUILD LIMITED,UNITED KINGDOM|UNITED KINGDOM,9,https://www.info-clipper.com/en/company/united-kingdom/designers-guild-limited.gbd3hxgcj.html,3 Latimer Place,LONDON,Headquarter,wissel_aziende_info_clipper
BANCA PICCOLO CREDITO VALTELLINESE SPA,ITALY|ITALY,10|CREDITO VALTELLINESE,https://www.info-clipper.com/en/company/italy/banca-piccolo-credito-valtellinese-spa.itd74pwaf.html,PIAZZA QUADRIVIO 8,SONDRIO,,wissel_aziende_info_clipper
SEB PANK AS,ESTONIA|ESTONIA,11,https://www.info-clipper.com/en/company/estonia/seb-pank-as.eedao2lxh.html,2 Tornimae tn 2,Tallinn,Headquarter,wissel_aziende_info_clipper
UNIVERSAL MUSIC GROUP DISTRIBUTION. CORP.,California(CA)|UNITED STATES,12|UNIVERSAL MUSIC GROUP,https://www.info-clipper.com/en/company/united-states/universal-music-group-distribution-corp.usd7or0w.html,2220 COLORADO AVE,SANTA MONICA,Headquarter,wissel_aziende_info_clipper
NATIONAL GRID GRAIN LNG LIMITED,UNITED KINGDOM|UNITED KINGDOM,13,https://www.info-clipper.com/en/company/united-kingdom/national-grid-grain-lng-limited.gbd70w3cc.html,Isle Of Grain Road Isle Of Grain,ROCHESTER,Single address,wissel_aziende_info_clipper
IVECO GROUP N.V.,ITALY|ITALY,14,https://www.info-clipper.com/en/company/italy/iveco-group-nv.itd7b13qv.html,VIA PUGLIA 35,TORINO,Headquarter,wissel_aziende_info_clipper
TBB PANK AS,ESTONIA|ESTONIA,15,https://www.info-clipper.com/en/company/estonia/tbb-pank-as.eed94zzu3.html,Vana-Viru tn 7,Tallinn,Headquarter,wissel_aziende_info_clipper
UNIVERSAL MUSIC GROUP. INC.,California(CA)|UNITED STATES,16,https://www.info-clipper.com/en/company/united-states/universal-music-group-inc.usdbnbiz.html,2220 COLORADO AVE,SANTA MONICA,Headquarter,wissel_aziende_info_clipper
LACTALIS MCLELLAND LIMITED,UNITED KINGDOM|UNITED KINGDOM,17,https://www.info-clipper.com/en/company/united-kingdom/lactalis-mclelland-limited.gbd3jofn3.html,RED CENTRAL 60 HIGH STREET,REDHILL,Headquarter,wissel_aziende_info_clipper
DALMATA SPA,ITALY|ITALY,18,https://www.info-clipper.com/en/company/italy/dalmata-spa.itd77hhiw.html,VIA DELLE NAZIONI UNITE 4,COLLECCHIO,Headquarter,wissel_aziende_info_clipper
SIMPES GRUPP OU,ESTONIA|ESTONIA,19,https://www.info-clipper.com/en/company/estonia/simpes-grupp-ou.eed98p600.html,Veski poik 3,Assaku alevik. Rae vald,Headquarter,wissel_aziende_info_clipper
UNIVERSAL MUSIC INVESTMENTS. INC.,California(CA)|UNITED STATES,20,https://www.info-clipper.com/en/company/united-states/universal-music-investments-inc.usd1bakpn.html,2220 COLORADO AVE,SANTA MONICA,Headquarter,wissel_aziende_info_clipper
LACTALIS (UK) LIMITED,UNITED KINGDOM|UNITED KINGDOM,21,https://www.info-clipper.com/en/company/united-kingdom/lactalis-limited.gbd3r6yv9.html,Redcentral 60 High Street,REDHILL,Single address,wissel_aziende_info_clipper
