ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
1,10DspaceOÃœ(14318875),14318875.0,Private limited company,Deleted,25.08.2017,,,,,,,,,,,,29.05.2020
2,21SparrowsOÃœ(16270291),16270291.0,Private limited company,Enteredintotheregister,14.07.2021,Capitalis10Â 000Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Toom-Kuninga tn 15-77 10122,Other activities auxiliary to financial services that are not classified elsewhere,66199 (EMTAK 2008),66.19,"\n                                        Janis Jegi\n, \n                                        Kaire Jegi\n","70.00%, 30.00%","\n                                    7000.00 EUR, \n                                    3000.00 EUR",\n                                Janis Jegi\n,\n                                Management board member\n,14.07.2021,
3,3DSTOÃœ(12454634),12454634.0,Private limited company,Enteredintotheregister,15.04.2013,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Pikk tn 67-3 10133,Specialised design activities,74101 (EMTAK 2008),74.1,\n                                        Siim Tiigim\xc3\xa4gi\n,100.00%,\n                                    2500.00 EUR,\n                                Siim Tiigim\xc3\xa4gi\n,\n                                Management board member\n,15.04.2013,
4,8BitsSpaceOÃœ(14867109),14867109.0,Private limited company,Enteredintotheregister,11.12.2019,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Sepapaja tn 6 15551,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Dominik Gronkiewicz\n,100.00%,\n                                    2500.00 EUR,\n                                Dominik Gronkiewicz\n,\n                                Management board member\n,11.12.2019,
5,A1EhituspartnerOÃœ(16451101),16451101.0,Private limited company,Enteredintotheregister,28.02.2022,Capitalis2Â 500Â â‚¬,PÃµlva maakond PÃµlva vald Adiste kÃ¼la Naima 63204,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,"\n                                        Arti Haidak\n, \n                                        Rainis Luik\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Rainis Luik\n,\n                                Management board member\n,28.02.2022,
6,osaÃ¼hingAarspak(10166769),10166769.0,Private limited company,Enteredintotheregister,28.11.1996,Capitalis2Â 550Â â‚¬,Harju maakond Viimsi vald Lubja kÃ¼la Ampri tee 7 74010,"Renting and operational leasing of other machinery, equipment and tangible assets not classified elsewhere",77399 (EMTAK 2008),77.39,"\n                                        Kaido Kaabel\n, \n                                        Marek Kaabel\n, \n                                        Arvi Kaabel\n","44.00%, 44.00%, 12.00%","\n                                    1122.00 EUR, \n                                    1122.00 EUR, \n                                    306.00 EUR",\n                                Kaido Kaabel\n,\n                                Management board member\n,28.11.1996,
7,AarspakTootmineOÃœ(11959421),11959421.0,Private limited company,Enteredintotheregister,22.06.2010,Capitalis2Â 556Â â‚¬,Harju maakond Viimsi vald Lubja kÃ¼la Ampri tee 7 74010,Manufacture of plastic packing goods \xc2\xa0,22221 (EMTAK 2008),22.22,"\n                                        Kaido Kaabel\n, \n                                        Marek Kaabel\n","50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Marek Kaabel\n,\n                                Management board member\n,22.06.2010,
8,A&ASpamarketOÃœ(11945353),11945353.0,Private limited company,Deleted,25.05.2010,,,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,,,,,,,07.09.2022
9,OÃœABCOnlineSolution(16008334),16008334.0,Private limited company,Enteredintotheregister,13.07.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Raua tn 51-2 10120,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,\n,100.00%,\n                                    2500.00 EUR,\n                                Joosep Tinn\n,\n                                Management board member\n,26.11.2021,
10,OÃœABCRakennuspalvelut(11739760),11739760.0,Private limited company,Deleted,20.10.2009,,,,,,,,,,,,26.03.2014
11,AbovespaceOÃœ(16322007),16322007.0,Private limited company,Enteredintotheregister,21.09.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Estonia pst 5 10143,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,"\n                                        German Randla\n, \n                                        Shamo Jamalov\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                German Randla\n,\n                                Management board member\n,21.09.2021,
12,AbrukaSPAOÃœ(16042743),16042743.0,Private limited company,Enteredintotheregister,02.09.2020,Capitalis2Â 500Â â‚¬,Saare maakond Saaremaa vald Abruka kÃ¼la PÃ¤hkla 93826,Holiday home (chalets),55202 (EMTAK 2008),55.2,"\n, \n                                        Maanus Truumeel\n","66.68%, 33.32%","\n                                    1667.00 EUR, \n                                    833.00 EUR",\n                                Sven Mansberg\n,\n                                Management board member\n,02.09.2020,
13,ABuildingGroupOÃœ(14166276),14166276.0,Private limited company,Deleted,09.12.2016,,,,,,,,,,,,02.12.2019
14,AceofSpaceOÃœ(12613707),12613707.0,Private limited company,Enteredintotheregister,13.02.2014,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Sikupilli tn 9 11414,Specialised design activities,74101 (EMTAK 2008),74.1,\n                                        Ines K\xc3\xa4\xc3\xa4rma\n,100.00%,\n                                    2500.00 EUR,\n                                Ines K\xc3\xa4\xc3\xa4rma\n,\n                                Management board member\n,12.09.2017,
15,AdmiralFerdinandvonWrangelliMÃ¤lestuspaikadeHooldamisejaJÃ¤Ã¤dvustamiseOsaÃ¼hing(10337568),10337568.0,Private limited company,Deleted,08.12.1997,,,,,,,,,,,,24.11.2000
16,ADUSPAGROUPOÃœ(12561784),12561784.0,Private limited company,Deleted,30.10.2013,,,,,,,,,,,,03.08.2020
17,AdvokaadibÃ¼rooLionLawOÃœ(11515492),11515492.0,Private limited company,Enteredintotheregister,08.07.2008,Capitalis2Â 556Â â‚¬,Harju maakond Harku vald Vaila kÃ¼la PÃµrgupÃµhja tee 3 76917,Activities attorneys and law offices,69101 (EMTAK 2008),69.1,\n                                        Mirjam Frey\n,100.00%,\n                                    2556.00 EUR,\n                                Mirjam Frey\n,\n                                Management board member\n,04.06.2019,
18,AerospaceQualityOÃœ(14568307),14568307.0,Private limited company,Enteredintotheregister,17.09.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa F. R. Faehlmanni tn 5 10125,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,\n                                        Bradley Jon Mallard\n,100.00%,\n                                    2500.00 EUR,\n                                Bradley Jon Mallard\n,\n                                Management board member\n,17.09.2018,
19,AespaangaarOÃœ(12366410),12366410.0,Private limited company,Enteredintotheregister,22.10.2012,Capitalis2Â 500Â â‚¬,Rapla maakond Kohila vald Aespa alevik Aespa ringtee 3 79732,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,\n                                        Nikolai Olhovka\n,100.00%,\n                                    2500.00 EUR,\n                                Igor Loja\n,\n                                Management board member\n,22.10.2012,
20,OsaÃ¼hingAespaEhitus(11373307),11373307.0,Private limited company,Enteredintotheregister,18.04.2007,Capitalis40Â 000Â EEK,Rapla maakond Kohila vald Aespa alevik Looduse tn 9 79701,Other building completion and finishing,43391 (EMTAK 2008),43.39,\n                                        Evelin V\xc3\xb5sa\n,100.00%,\n                                    40000.00 EEK,\n                                Evelin Takkel\n,\n                                Management board member\n,18.04.2022,
21,AespaInvestOÃœ(14855410),14855410.0,Private limited company,Enteredintotheregister,25.11.2019,Capitalis2Â 500Â â‚¬,Rapla maakond Kohila vald Aespa alevik Karmeni tn 5 79705,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,"\n                                        Jaan K\xc3\xb5rgema\n, \n                                        Steven Seller\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Jaan K\xc3\xb5rgema\n,\n                                Management board member\n,25.11.2019,
